UniProt Acc,Gene Name,Protein Name
Q15437,SEC23B,Protein transport protein Sec23B
Q9NX63,CHCHD3,MICOS complex subunit MIC19
P17812,CTPS1,CTP synthase 1
Q9Y2H9,MAST1,Microtubule-associated serine/threonine-protein kinase 1
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial"
Q6P1M3,LLGL2,LLGL scribble cell polarity complex component 2
Q9NZL4,HSPBP1,Hsp70-binding protein 1
Q92538,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
Q14451,GRB7,Growth factor receptor-bound protein 7
P41597,CCR2,C-C chemokine receptor type 2
Q13255,GRM1,Metabotropic glutamate receptor 1
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2
P62987,UBA52,Ubiquitin-ribosomal protein eL40 fusion protein
Q9ULY5,CLEC4E,C-type lectin domain family 4 member E
Q00796,SORD,Sorbitol dehydrogenase
Q9Y4X3,CCL27,C-C motif chemokine 27
Q9UKS6,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3
P40937,RFC5,Replication factor C subunit 5
Q8WWL2,SPIRE2,Protein spire homolog 2
Q9NX61,TMEM161A,Transmembrane protein 161A
Q15050,RRS1,Ribosome biogenesis regulatory protein homolog
Q99447,PCYT2,Ethanolamine-phosphate cytidylyltransferase
Q14656,TMEM187,Transmembrane protein 187
Q9BQ52,ELAC2,Zinc phosphodiesterase ELAC protein 2
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2
O43633,CHMP2A,Charged multivesicular body protein 2a
Q9BSJ5,MTNAP1,Mitochondrial nucleoid-associated protein 1
Q96PZ0,PUS7,Pseudouridylate synthase 7 homolog
O15014,ZNF609,Zinc finger protein 609
Q07617,SPAG1,Sperm-associated antigen 1
Q86UW6,N4BP2,NEDD4-binding protein 2
Q9UL41,PNMA3,Paraneoplastic antigen Ma3
Q9NP97,DYNLRB1,Dynein light chain roadblock-type 1
Q15532,SS18,Protein SSXT
P05129,PRKCG,Protein kinase C gamma type
A0AUZ9,KANSL1L,KAT8 regulatory NSL complex subunit 1-like protein
Q99661,KIF2C,Kinesin-like protein KIF2C
P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial"
O43314,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
Q9BWU1,CDK19,Cyclin-dependent kinase 19
P41091,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3
Q9NQW6,ANLN,Anillin
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2
Q6UX39,AMTN,Amelotin
P62861,FAU,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein
Q86UD1,OAF,Out at first protein homolog
Q99460,PSMD1,26S proteasome non-ATPase regulatory subunit 1
Q9UI10,EIF2B4,Translation initiation factor eIF2B subunit delta
P09914,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1
Q13503,MED21,Mediator of RNA polymerase II transcription subunit 21
Q9HC36,MRM3,"rRNA methyltransferase 3, mitochondrial"
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47
P35606,COPB2,Coatomer subunit beta'
Q16540,MRPL23,Large ribosomal subunit protein uL23m
P57737,CORO7,Coronin-7
P34810,CD68,Macrosialin
O75030,MITF,Microphthalmia-associated transcription factor
P13591,NCAM1,Neural cell adhesion molecule 1
Q9NPD3,EXOSC4,Exosome complex component RRP41
Q9HCK5,AGO4,Protein argonaute-4
Q13630,GFUS,GDP-L-fucose synthase
P53602,MVD,Diphosphomevalonate decarboxylase
Q8NBV4,PLPP7,Inactive phospholipid phosphatase 7
Q96Q89,KIF20B,Kinesin-like protein KIF20B
Q14257,RCN2,Reticulocalbin-2
Q8NBI6,XXYLT1,Xyloside xylosyltransferase 1
Q8NF99,ZNF397,Zinc finger protein 397
Q9NPC1,LTB4R2,Leukotriene B4 receptor 2
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14
Q9H204,MED28,Mediator of RNA polymerase II transcription subunit 28
Q15776,ZKSCAN8,Zinc finger protein with KRAB and SCAN domains 8
Q969Q0,RPL36AL,Ribosomal protein eL42-like
Q8N5Z5,KCTD17,BTB/POZ domain-containing protein KCTD17
P60660,MYL6,Myosin light polypeptide 6
Q96QU8,XPO6,Exportin-6
P09211,GSTP1,Glutathione S-transferase P
O00237,RNF103,E3 ubiquitin-protein ligase RNF103
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1
P49773,HINT1,Adenosine 5'-monophosphoramidase HINT1
O60524,NEMF,Ribosome quality control complex subunit NEMF
Q9Y5L4,TIMM13,Mitochondrial import inner membrane translocase subunit Tim13
Q9BPX5,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein
Q7L2E3,DHX30,ATP-dependent RNA helicase DHX30
P13489,RNH1,Ribonuclease inhibitor
O15067,PFAS,Phosphoribosylformylglycinamidine synthase
Q96KM6,ZNF512B,Zinc finger protein 512B
P13533,MYH6,Myosin-6
Q96KA5,CLPTM1L,Lipid scramblase CLPTM1L
O43638,FOXS1,Forkhead box protein S1
O43504,LAMTOR5,Ragulator complex protein LAMTOR5
O00541,PES1,Pescadillo homolog
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2
P50991,CCT4,T-complex protein 1 subunit delta
P67936,TPM4,Tropomyosin alpha-4 chain
Q9H2M9,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit
Q68CP9,ARID2,AT-rich interactive domain-containing protein 2
P38117,ETFB,Electron transfer flavoprotein subunit beta
Q9BQE5,APOL2,Apolipoprotein L2
P00338,LDHA,L-lactate dehydrogenase A chain
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"
Q9NX40,OCIAD1,OCIA domain-containing protein 1
Q9NUJ3,TCP11L1,T-complex protein 11-like protein 1
Q6ZMQ8,AATK,Serine/threonine-protein kinase LMTK1
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase
O75179,ANKRD17,Ankyrin repeat domain-containing protein 17
Q96CT7,CCDC124,Coiled-coil domain-containing protein 124
Q8NCJ5,SPRYD3,SPRY domain-containing protein 3
Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1
O75607,NPM3,Nucleoplasmin-3
A8MV81,HIGD1C,HIG1 domain family member 1C
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein
Q9BX10,GTPBP2,GTP-binding protein 2
Q9UGJ0,PRKAG2,5'-AMP-activated protein kinase subunit gamma-2
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase
P04075,ALDOA,Fructose-bisphosphate aldolase A
Q14789,GOLGB1,Golgin subfamily B member 1
P63092,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
P43490,NAMPT,Nicotinamide phosphoribosyltransferase
P63211,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1
Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic"
Q3LXA3,TKFC,Triokinase/FMN cyclase
Q13303,KCNAB2,Voltage-gated potassium channel subunit beta-2
P43351,RAD52,DNA repair protein RAD52 homolog
Q9NZM1,MYOF,Myoferlin
Q9H081,MIS12,Protein MIS12 homolog
Q4VC44,FLYWCH1,FLYWCH-type zinc finger-containing protein 1
Q13098,GPS1,COP9 signalosome complex subunit 1
P48549,KCNJ3,G protein-activated inward rectifier potassium channel 1
P24390,KDELR1,ER lumen protein-retaining receptor 1
Q9C019,TRIM15,E3 ubiquitin-protein ligase TRIM15
P37268,FDFT1,Squalene synthase
P30622,CLIP1,CAP-Gly domain-containing linker protein 1
Q9Y3A3,MOB4,MOB-like protein phocein
O95235,KIF20A,Kinesin-like protein KIF20A
Q9P270,SLAIN2,SLAIN motif-containing protein 2
Q96GZ6,SLC41A3,Solute carrier family 41 member 3
P56559,ARL4C,ADP-ribosylation factor-like protein 4C
Q7L5N1,COPS6,COP9 signalosome complex subunit 6
P15586,GNS,N-acetylglucosamine-6-sulfatase
Q9H9Q2,COPS7B,COP9 signalosome complex subunit 7b
Q96AZ6,ISG20,Interferon-stimulated gene 20 kDa protein
P56377,AP1S2,AP-1 complex subunit sigma-2
Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L
O43464,HTRA2,"Serine protease HTRA2, mitochondrial"
O76003,GLRX3,Glutaredoxin-3
Q8N752,CSNK1A1L,Casein kinase I isoform alpha-like
Q9BSG1,ZNF2,Zinc finger protein 2
O60664,PLIN3,Perilipin-3
P01730,CD4,T-cell surface glycoprotein CD4
O75069,TMCC2,Transmembrane and coiled-coil domains protein 2
Q16653,MOG,Myelin-oligodendrocyte glycoprotein
Q8NI27,THOC2,THO complex subunit 2
Q9H9G7,AGO3,Protein argonaute-3
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase
P23677,ITPKA,Inositol-trisphosphate 3-kinase A
O00479,HMGN4,High mobility group nucleosome-binding domain-containing protein 4
Q969P5,FBXO32,F-box only protein 32
O60678,PRMT3,Protein arginine N-methyltransferase 3
Q13867,BLMH,Bleomycin hydrolase
Q92797,SYMPK,Symplekin
Q15650,TRIP4,Activating signal cointegrator 1
Q86V48,LUZP1,Leucine zipper protein 1
Q8TD31,CCHCR1,Coiled-coil alpha-helical rod protein 1
Q9BT73,PSMG3,Proteasome assembly chaperone 3
Q14894,CRYM,Ketimine reductase mu-crystallin
P48634,PRRC2A,Protein PRRC2A
Q96LI6,HSFY2,"Heat shock transcription factor, Y-linked"
O95298,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2
P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial"
Q9GZY8,MFF,Mitochondrial fission factor
Q15056,EIF4H,Eukaryotic translation initiation factor 4H
Q15109,AGER,Advanced glycosylation end product-specific receptor
Q2M3W8,ZNF181,Zinc finger protein 181
Q92985,IRF7,Interferon regulatory factor 7
Q9H1X3,DNAJC25,DnaJ homolog subfamily C member 25
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein
Q9NR30,DDX21,Nucleolar RNA helicase 2
Q92733,PRCC,Proline-rich protein PRCC
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein
Q9H257,CARD9,Caspase recruitment domain-containing protein 9
Q8WXI2,CNKSR2,Connector enhancer of kinase suppressor of ras 2
P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase
Q9UDW1,UQCR10,Cytochrome b-c1 complex subunit 9
Q92805,GOLGA1,Golgin subfamily A member 1
Q9UNK4,PLA2G2D,Group IID secretory phospholipase A2
P56817,BACE1,Beta-secretase 1
Q96PP8,GBP5,Guanylate-binding protein 5
Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK
Q9HAZ1,CLK4,Dual specificity protein kinase CLK4
O60701,UGDH,UDP-glucose 6-dehydrogenase
O95202,LETM1,Mitochondrial proton/calcium exchanger protein
Q7Z7L9,ZSCAN2,Zinc finger and SCAN domain-containing protein 2
Q9H477,RBKS,Ribokinase
P05107,ITGB2,Integrin beta-2
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant
Q9H1J1,UPF3A,Regulator of nonsense transcripts 3A
Q9UHD8,SEPTIN9,Septin-9
Q13330,MTA1,Metastasis-associated protein MTA1
Q5QNW6,H2BC18,Histone H2B type 2-F
P49810,PSEN2,Presenilin-2
Q93079,H2BC9,Histone H2B type 1-H
Q6ZQN5,FOXI2,Forkhead box protein I2
Q9UJK0,TSR3,18S rRNA aminocarboxypropyltransferase
P40938,RFC3,Replication factor C subunit 3
Q9P275,USP36,Ubiquitin carboxyl-terminal hydrolase 36
Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase
Q9NVN8,GNL3L,Guanine nucleotide-binding protein-like 3-like protein
Q66PJ3,ARL6IP4,ADP-ribosylation factor-like protein 6-interacting protein 4
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A
Q15828,CST6,Cystatin-M
Q9UKU6,TRHDE,Thyrotropin-releasing hormone-degrading ectoenzyme
Q9BUJ0,ABHD14A,Protein ABHD14A
P63096,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1
Q96QS3,ARX,Homeobox protein ARX
Q7L8L6,FASTKD5,"FAST kinase domain-containing protein 5, mitochondrial"
Q9Y2X9,ZNF281,Zinc finger protein 281
O00626,CCL22,C-C motif chemokine 22
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4
Q86XL3,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type"
Q15797,SMAD1,Mothers against decapentaplegic homolog 1
Q9H147,DNTTIP1,Deoxynucleotidyltransferase terminal-interacting protein 1
P49336,CDK8,Cyclin-dependent kinase 8
Q13889,GTF2H3,General transcription factor IIH subunit 3
Q02763,TEK,Angiopoietin-1 receptor
Q9UQV4,LAMP3,Lysosome-associated membrane glycoprotein 3
Q6NYC1,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
P35408,PTGER4,Prostaglandin E2 receptor EP4 subtype
Q9NVP1,DDX18,ATP-dependent RNA helicase DDX18
Q8TDN6,BRIX1,Ribosome biogenesis protein BRX1 homolog
Q96LU5,IMMP1L,Mitochondrial inner membrane protease subunit 1
Q13442,PDAP1,28 kDa heat- and acid-stable phosphoprotein
Q9Y265,RUVBL1,RuvB-like 1
Q9H223,EHD4,EH domain-containing protein 4
P30530,AXL,Tyrosine-protein kinase receptor UFO
Q5JUW0,KRBOX4,KRAB domain-containing protein 4
Q8N983,MRPL43,Large ribosomal subunit protein mL43
P55075,FGF8,Fibroblast growth factor 8
P19087,GNAT2,Guanine nucleotide-binding protein G(t) subunit alpha-2
Q7Z7A1,CNTRL,Centriolin
Q6P582,MZT2A,Mitotic-spindle organizing protein 2A
P21926,CD9,CD9 antigen
Q14699,RFTN1,Raftlin
Q5QJE6,DNTTIP2,Deoxynucleotidyltransferase terminal-interacting protein 2
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5
Q9C0D0,PHACTR1,Phosphatase and actin regulator 1
P04424,ASL,Argininosuccinate lyase
O14713,ITGB1BP1,Integrin beta-1-binding protein 1
O95425,SVIL,Supervillin
O75525,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3"
Q13404,UBE2V1,Ubiquitin-conjugating enzyme E2 variant 1
Q9BWH6,RPAP1,RNA polymerase II-associated protein 1
Q8N5M4,TTC9C,Tetratricopeptide repeat protein 9C
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B
Q5VT06,CEP350,Centrosome-associated protein 350
Q9UPY6,WASF3,Actin-binding protein WASF3
Q5JVF3,PCID2,PCI domain-containing protein 2
Q7L7X3,TAOK1,Serine/threonine-protein kinase TAO1
Q9NV06,DCAF13,DDB1- and CUL4-associated factor 13
P57738,TCTA,T-cell leukemia translocation-altered gene protein
Q9GZV4,EIF5A2,Eukaryotic translation initiation factor 5A-2
Q9HD20,ATP13A1,Endoplasmic reticulum transmembrane helix translocase
O95373,IPO7,Importin-7
P52597,HNRNPF,Heterogeneous nuclear ribonucleoprotein F
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1
P48637,GSS,Glutathione synthetase
Q92820,GGH,Gamma-glutamyl hydrolase
P11055,MYH3,Myosin-3
P11362,FGFR1,Fibroblast growth factor receptor 1
P02776,PF4,Platelet factor 4
Q9Y2Z0,SUGT1,Protein SGT1 homolog
P35520,CBS,Cystathionine beta-synthase
B0I1T2,MYO1G,Unconventional myosin-Ig
O95279,KCNK5,Potassium channel subfamily K member 5
Q9H6R4,NOL6,Nucleolar protein 6
Q9Y5A9,YTHDF2,YTH domain-containing family protein 2
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1
O94844,RHOBTB1,Rho-related BTB domain-containing protein 1
Q9UK99,FBXO3,F-box only protein 3
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4
Q15818,NPTX1,Neuronal pentraxin-1
Q9UPE1,SRPK3,SRSF protein kinase 3
Q9UBX3,SLC25A10,Mitochondrial dicarboxylate carrier
Q14714,SSPN,Sarcospan
O43847,NRDC,Nardilysin
Q9NYU2,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1
Q9NZZ3,CHMP5,Charged multivesicular body protein 5
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8
P38935,IGHMBP2,DNA-binding protein SMUBP-2
O14512,SOCS7,Suppressor of cytokine signaling 7
Q14687,GSE1,Genetic suppressor element 1
Q9P0U4,CXXC1,CXXC-type zinc finger protein 1
Q9C0D2,CEP295,Centrosomal protein of 295 kDa
Q96S96,PEBP4,Phosphatidylethanolamine-binding protein 4
P08173,CHRM4,Muscarinic acetylcholine receptor M4
Q1W6H9,FAM110C,Protein FAM110C
B2RPK0,HMGB1P1,Putative high mobility group protein B1-like 1
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3
P52655,GTF2A1,Transcription initiation factor IIA subunit 1
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
Q969S3,ZNF622,Cytoplasmic 60S subunit biogenesis factor ZNF622
P21453,S1PR1,Sphingosine 1-phosphate receptor 1
Q01650,SLC7A5,Large neutral amino acids transporter small subunit 1
Q7Z478,DHX29,ATP-dependent RNA helicase DHX29
P21757,MSR1,Macrophage scavenger receptor types I and II
P82914,MRPS15,Small ribosomal subunit protein uS15m
P22059,OSBP,Oxysterol-binding protein 1
Q6W5P4,NPSR1,Neuropeptide S receptor
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2
Q6PJG9,LRFN4,Leucine-rich repeat and fibronectin type-III domain-containing protein 4
P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial"
Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2
Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4
Q14432,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A"
O14944,EREG,Proepiregulin
O15347,HMGB3,High mobility group protein B3
P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A
P26640,VARS1,Valine--tRNA ligase
Q9Y587,AP4S1,AP-4 complex subunit sigma-1
Q15773,MLF2,Myeloid leukemia factor 2
Q6UWN0,LYPD4,Ly6/PLAUR domain-containing protein 4
P53041,PPP5C,Serine/threonine-protein phosphatase 5
Q15120,PDK3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"
Q96QT6,PHF12,PHD finger protein 12
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9
Q14696,MESD,LRP chaperone MESD
P61962,DCAF7,DDB1- and CUL4-associated factor 7
O00585,CCL21,C-C motif chemokine 21
O95470,SGPL1,Sphingosine-1-phosphate lyase 1
Q96EY4,TMA16,Translation machinery-associated protein 16
Q15326,ZMYND11,Zinc finger MYND domain-containing protein 11
Q96C19,EFHD2,EF-hand domain-containing protein D2
O14976,GAK,Cyclin-G-associated kinase
Q15438,CYTH1,Cytohesin-1
O75437,ZNF254,Zinc finger protein 254
Q8IZY2,ABCA7,Phospholipid-transporting ATPase ABCA7
Q6PJ61,FBXO46,F-box only protein 46
Q08AG7,MZT1,Mitotic-spindle organizing protein 1
Q5T9L3,WLS,Protein wntless homolog
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
Q9UIA9,XPO7,Exportin-7
Q8NHZ8,CDC26,Anaphase-promoting complex subunit CDC26
Q9HAU0,PLEKHA5,Pleckstrin homology domain-containing family A member 5
P33076,CIITA,MHC class II transactivator
P49757,NUMB,Protein numb homolog
Q08378,GOLGA3,Golgin subfamily A member 3
P32418,SLC8A1,Sodium/calcium exchanger 1
P41595,HTR2B,5-hydroxytryptamine receptor 2B
Q96MU6,ZNF778,Zinc finger protein 778
Q9ULX3,NOB1,RNA-binding protein NOB1
P08579,SNRPB2,U2 small nuclear ribonucleoprotein B''
P46926,GNPDA1,Glucosamine-6-phosphate deaminase 1
Q8NCT1,ARRDC4,Arrestin domain-containing protein 4
Q5F1R6,DNAJC21,DnaJ homolog subfamily C member 21
Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1
P09001,MRPL3,Large ribosomal subunit protein uL3m
P26639,TARS1,"Threonine--tRNA ligase 1, cytoplasmic"
P52298,NCBP2,Nuclear cap-binding protein subunit 2
P56180,TPTE,Putative tyrosine-protein phosphatase TPTE
Q9H841,NIPAL2,NIPA-like protein 2
Q92930,RAB8B,Ras-related protein Rab-8B
P54277,PMS1,PMS1 protein homolog 1
Q58FF7,HSP90AB3P,Putative heat shock protein HSP 90-beta-3
Q52LW3,ARHGAP29,Rho GTPase-activating protein 29
P06753,TPM3,Tropomyosin alpha-3 chain
Q96KQ4,PPP1R13B,Apoptosis-stimulating of p53 protein 1
Q9P2E9,RRBP1,Ribosome-binding protein 1
Q9H967,WDR76,WD repeat-containing protein 76
Q14114,LRP8,Low-density lipoprotein receptor-related protein 8
Q9Y4E8,USP15,Ubiquitin carboxyl-terminal hydrolase 15
P52789,HK2,Hexokinase-2
Q9ULR3,PPM1H,Protein phosphatase 1H
Q15061,WDR43,WD repeat-containing protein 43
Q9Y2T2,AP3M1,AP-3 complex subunit mu-1
P33527,ABCC1,Multidrug resistance-associated protein 1
Q00526,CDK3,Cyclin-dependent kinase 3
Q13634,CDH18,Cadherin-18
Q9UBE8,NLK,Serine/threonine-protein kinase NLK
P51692,STAT5B,Signal transducer and activator of transcription 5B
Q5TA89,HES5,Transcription factor HES-5
P16591,FER,Tyrosine-protein kinase Fer
Q9UPY3,DICER1,Endoribonuclease Dicer
Q9BYD1,MRPL13,Large ribosomal subunit protein uL13m
P82933,MRPS9,Small ribosomal subunit protein uS9m
Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
Q9HCS7,XAB2,Pre-mRNA-splicing factor SYF1
O75478,TADA2A,Transcriptional adapter 2-alpha
Q12996,CSTF3,Cleavage stimulation factor subunit 3
O00429,DNM1L,Dynamin-1-like protein
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10
O60870,KIN,DNA/RNA-binding protein KIN17
P14780,MMP9,Matrix metalloproteinase-9
P07339,CTSD,Cathepsin D
P18077,RPL35A,Large ribosomal subunit protein eL33
Q9Y2W7,KCNIP3,Calsenilin
P20839,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1
Q6J9G0,STYK1,Tyrosine-protein kinase STYK1
P14324,FDPS,Farnesyl pyrophosphate synthase
P18621,RPL17,Large ribosomal subunit protein uL22
Q15434,RBMS2,"RNA-binding motif, single-stranded-interacting protein 2"
Q8TDC3,BRSK1,Serine/threonine-protein kinase BRSK1
Q6IE81,JADE1,Protein Jade-1
Q01813,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type"
Q969V5,MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1
P16520,GNB3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3
Q5T653,MRPL2,Large ribosomal subunit protein uL2m
Q15386,UBE3C,Ubiquitin-protein ligase E3C
P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1"
Q03252,LMNB2,Lamin-B2
Q8N8S7,ENAH,Protein enabled homolog
P26641,EEF1G,Elongation factor 1-gamma
P51003,PAPOLA,Poly(A) polymerase alpha
Q92878,RAD50,DNA repair protein RAD50
Q9NPG2,NGB,Neuroglobin
P37173,TGFBR2,TGF-beta receptor type-2
O15235,MRPS12,Small ribosomal subunit protein uS12m
Q9UNQ0,ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2
Q9Y3B7,MRPL11,Large ribosomal subunit protein uL11m
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B
Q9Y2R2,PTPN22,Tyrosine-protein phosphatase non-receptor type 22
P10911,MCF2,Proto-oncogene DBL
Q9UK53,ING1,Inhibitor of growth protein 1
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase
Q9NVN3,RIC8B,Chaperone Ric-8B
Q9NQ55,PPAN,Suppressor of SWI4 1 homolog
Q9NY93,DDX56,Probable ATP-dependent RNA helicase DDX56
Q15063,POSTN,Periostin
Q99959,PKP2,Plakophilin-2
Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma
P61758,VBP1,Prefoldin subunit 3
O75717,WDHD1,WD repeat and HMG-box DNA-binding protein 1
O00506,STK25,Serine/threonine-protein kinase 25
Q13107,USP4,Ubiquitin carboxyl-terminal hydrolase 4
Q15746,MYLK,"Myosin light chain kinase, smooth muscle"
O75330,HMMR,Hyaluronan mediated motility receptor
P10916,MYL2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform"
P12532,CKMT1B,"Creatine kinase U-type, mitochondrial"
P61289,PSME3,Proteasome activator complex subunit 3
Q15077,P2RY6,P2Y purinoceptor 6
Q92889,ERCC4,DNA repair endonuclease XPF
Q05048,CSTF1,Cleavage stimulation factor subunit 1
P46459,NSF,Vesicle-fusing ATPase
Q9HBW1,LRRC4,Leucine-rich repeat-containing protein 4
Q9UBR4,LHX3,LIM/homeobox protein Lhx3
O96009,NAPSA,Napsin-A
Q86YZ3,HRNR,Hornerin
Q14C86,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1
Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2
Q9H1C4,UNC93B1,Protein unc-93 homolog B1
Q9ULK4,MED23,Mediator of RNA polymerase II transcription subunit 23
Q8IX30,SCUBE3,"Signal peptide, CUB and EGF-like domain-containing protein 3"
P55212,CASP6,Caspase-6
P08123,COL1A2,Collagen alpha-2(I) chain
Q9NPJ6,MED4,Mediator of RNA polymerase II transcription subunit 4
Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial"
Q9Y5U4,INSIG2,Insulin-induced gene 2 protein
Q9BZR8,BCL2L14,Apoptosis facilitator Bcl-2-like protein 14
Q8N142,ADSS1,Adenylosuccinate synthetase isozyme 1
P04233,CD74,HLA class II histocompatibility antigen gamma chain
P52926,HMGA2,High mobility group protein HMGI-C
Q9NQB0,TCF7L2,Transcription factor 7-like 2
P05455,SSB,Lupus La protein
P22392,NME2,Nucleoside diphosphate kinase B
Q5T200,ZC3H13,Zinc finger CCCH domain-containing protein 13
Q14654,KCNJ11,ATP-sensitive inward rectifier potassium channel 11
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4
P27797,CALR,Calreticulin
Q75N03,CBLL1,E3 ubiquitin-protein ligase Hakai
Q8IXL6,FAM20C,Extracellular serine/threonine protein kinase FAM20C
Q9UL15,BAG5,BAG family molecular chaperone regulator 5
P35270,SPR,Sepiapterin reductase
Q15041,ARL6IP1,ADP-ribosylation factor-like protein 6-interacting protein 1
Q8NFH8,REPS2,RalBP1-associated Eps domain-containing protein 2
Q96QB1,DLC1,Rho GTPase-activating protein 7
O00764,PDXK,Pyridoxal kinase
P47736,RAP1GAP,Rap1 GTPase-activating protein 1
Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1"
P07992,ERCC1,DNA excision repair protein ERCC-1
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2
Q9BT78,COPS4,COP9 signalosome complex subunit 4
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60
P51397,DAP,Death-associated protein 1
P16671,CD36,Platelet glycoprotein 4
Q6RFH8,DUX4L9,Double homeobox protein 4C
P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
