Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
P36406	reviewed	TRI23_HUMAN	E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	TRIM23 ARD1 ARFD1 RNF46	Homo sapiens (Human)	574	8473324; 11331580; 15489334; 9671726; 10748148; 15684077; 19176615; 28871090; 28681414
P37840	reviewed	SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140	8248242; 7601450; 7802671; 11156617; 14702039; 15489334; 8194594; 10617630; 10852916; 11162638; 11821392; 11813001; 12859192; 12859200; 12558071; 12893833; 15207266; 15282274; 19722699; 20798282; 21269460; 21319811; 21841800; 22854022; 22407793; 26442590; 27597756; 28288128; 30404828; 31034892; 15615727; 19762560; 21462277; 23607618; 26352473; 27018801; 30190461; 9197268; 9462735; 14755719; 15498564; 23457019; 23427326; 24936070; 25561023
P40305	reviewed	IFI27_HUMAN	Interferon alpha-inducible protein 27, mitochondrial (p27) (Interferon alpha-induced 11.5 kDa protein) (Interferon-stimulated gene 12a protein) (ISG12(a)) (ISG12A)	IFI27	Homo sapiens (Human)	122	8358738; 14702039; 17974005; 12508121; 15489334; 11722583; 12878323; 14728724; 18330707; 22427340; 24970806; 27194766; 27673746; 27777077; 36426955
P40337	reviewed	VHL_HUMAN	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213	8493574; 14702039; 16641997; 15489334; 8733131; 9122164; 9671762; 7660130; 9751722; 10635329; 10944113; 11384984; 11641274; 11739384; 12169691; 12032852; 16234850; 17981124; 19208626; 19584355; 22286099; 23401859; 34290272; 12004076; 12050673; 10205047; 8069849; 8183553; 7987306; 7728151; 8634692; 8592333; 8825918; 8730290; 8956040; 9452032; 9452106; 10627136; 9829911; 9829912; 9663592; 10533030; 10408776; 11986208; 12000816; 12844285; 14500403; 12393546; 16502427; 17344846
P40763	reviewed	STAT3_HUMAN	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770	7512451; 9630560; 14702039; 16625196; 15489334; 7701321; 9388184; 10688651; 12359225; 11773079; 12208879; 12023369; 12873986; 12763138; 15194700; 15465816; 15467733; 15994929; 16285960; 16219639; 15677474; 15592455; 15919823; 15653507; 16568091; 17875724; 17344214; 17956865; 18242580; 18599021; 18070987; 18234692; 18782771; 18691976; 18669648; 19413330; 19147545; 20826784; 20068231; 21269460; 21135090; 22306293; 23084476; 22223895; 22814378; 23186163; 24275569; 25476455; 26675719; 27387064; 28065600; 28262505; 29924996; 31462771; 32555452; 32929201; 31899195; 32797246; 17881745; 17676033; 23342295; 25038750; 26293184; 28073828
P41002	reviewed	CCNF_HUMAN	Cyclin-F (F-box only protein 1)	CCNF FBX1 FBXO1	Homo sapiens (Human)	786	7813445; 7896286; 14702039; 15616553; 15489334; 8706131; 10716937; 12122006; 20596027; 22632967; 22441691; 25557911; 27653696; 26818844; 27080313; 28852778
P41159	reviewed	LEP_HUMAN	Leptin (Obese protein) (Obesity factor)	LEP OB OBS	Homo sapiens (Human)	167	7984236; 7789654; 8626726; 7499240; 8621021; 15489334; 8589726; 10428856; 10896907; 11460888; 12448771; 12504075; 15122202; 15899045; 16052473; 17344214; 18242580; 19688109; 24340098; 25232147; 25060689; 9166907; 9144295; 9500540; 25551525
P42338	reviewed	PK3CB_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta) (Serine/threonine protein kinase PIK3CB) (EC 2.7.11.1)	PIK3CB PIK3C1	Homo sapiens (Human)	1070	8246984; 11016459; 15489334; 12502714; 15135396; 18594509; 18755892; 19635806; 21030680; 21269460; 21383062; 21321382; 21035500
P42345	reviewed	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549	8008069; 9653645; 16710414; 15489334; 11426320; 7809080; 9434772; 11853878; 12150925; 12150926; 12231510; 12087098; 12408816; 11930000; 14651849; 12718876; 15268862; 15545625; 14578359; 15467718; 15905173; 15718470; 17517883; 17599906; 17386266; 18925875; 18762023; 18372248; 18691976; 18669648; 18497260; 19446321; 19487463; 19369195; 19608861; 19145465; 20381137; 20537536; 20810650; 20801936; 20427287; 20516213; 20068231; 21269460; 21576368; 21406692; 21659604; 22576015; 22343943; 22692423; 23027611; 22814378; 23394946; 25657994; 24247430; 23186163; 23524951; 23762398; 23429704; 23429703; 24403073; 24275569; 24448649; 25851998; 26018084; 26542245; 25438055; 25799227; 25561175; 25878179; 25944712; 25567906; 26812014; 27623384; 27830187; 29750193; 29150432; 30956113; 30704899; 31112131; 31036939; 31601708; 33378666; 32612235; 32561715; 32647003; 34289345; 35561222; 36691768; 36608670; 37751742; 8662507; 10089303; 20060908; 20542007; 23636326; 27909983; 26678875; 29236692; 31601764; 34519268; 34519269; 36697823; 17344846; 21248752
P42684	reviewed	ABL2_HUMAN	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182	2198571; 18810762; 14702039; 17974005; 16710414; 15489334; 3787260; 12748290; 15886098; 15735735; 16678104; 16964243; 17306540; 17525332; 18945674; 12775773; 14729179; 18691976; 18669648; 18182299; 19413330; 19369195; 19381274; 19690332; 20068231; 20841568; 21406692; 23186163; 24275569; 21417343; 22297987; 17344846
P42858	reviewed	HD_HUMAN	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	Homo sapiens (Human)	3142	8458085; 11013077; 15815621; 8197474; 7759106; 7903579; 7647777; 8696339; 9535906; 9700202; 10332029; 10770929; 10958656; 11461154; 12783847; 15654337; 16391387; 16476778; 17141218; 17611284; 18088087; 18691976; 18573880; 18669648; 19413330; 19690332; 20068231; 21269460; 21685499; 21406692; 23186163; 24275569; 26198635; 28882895; 28757145; 24459296; 29802276; 19748341; 21968397; 23931318; 23370273; 25861763; 29466333; 27329733; 26740508
P43357	reviewed	MAGA3_HUMAN	Melanoma-associated antigen 3 (Antigen MZ2-D) (Cancer/testis antigen 1.3) (CT1.3) (MAGE-3 antigen)	MAGEA3 MAGE3	Homo sapiens (Human)	314	8113684; 8037761; 14702039; 10854409; 15772651; 15489334; 17942928; 20864041; 29779948; 31267705
P43360	reviewed	MAGA6_HUMAN	Melanoma-associated antigen 6 (Cancer/testis antigen 1.6) (CT1.6) (MAGE-6 antigen) (MAGE3B antigen)	MAGEA6 MAGE6	Homo sapiens (Human)	314	7927540; 8037761; 7642112; 17974005; 15489334; 17942928; 20864041; 31267705; 20598277
P43694	reviewed	GATA4_HUMAN	Transcription factor GATA-4 (GATA-binding factor 4)	GATA4	Homo sapiens (Human)	442	7721094; 16421571; 15489334; 15734735; 19413330; 20081228; 35182466; 21220346; 24041700; 24000169; 25017055; 27984724; 12845333; 15810002; 18055909; 17643447; 18672102; 20659440; 21110066; 20347099; 21637914; 22101736; 27535533
P45983	reviewed	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	Homo sapiens (Human)	427	8137421; 8654373; 15164054; 19054851; 15489334; 7839144; 11062067; 10856240; 10747973; 12514174; 15693750; 16581800; 17875713; 17761173; 17158878; 17296730; 18307971; 18570871; 18691976; 18669648; 19166818; 19369195; 20027304; 21364637; 21269460; 21660049; 22441692; 21095239; 21148294; 21856198; 22966201; 22327296; 27568560; 28943315; 30878395; 15141161; 17344846
P46821	reviewed	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468	7806212; 12684070; 15372022; 12147674; 15525354; 16227972; 17081983; 17487921; 17525332; 18419581; 18195017; 18088087; 18669648; 18318008; 19413330; 19369195; 20068231; 21269460; 21406692; 23186163; 24089205; 24275569; 25902260; 29738522; 30150678; 31317654; 16959974; 33268592
P46934	reviewed	NEDD4_HUMAN	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53	Homo sapiens (Human)	1319	17218260; 7788527; 14702039; 17974005; 16572171; 15489334; 11342538; 11598133; 12559917; 14581525; 18819914; 18353951; 18669648; 18305167; 18562292; 19920177; 19690332; 20559325; 20086093; 20159449; 20068231; 21269460; 21765395; 21191027; 22096579; 23166351; 22223895; 22179831; 23873930; 23186163; 25631046; 26854353; 32101753; 21399620; 23665454; 23644597; 24379409; 16959974
P48357	reviewed	LEPR_HUMAN	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	LEPR DB OBR	Homo sapiens (Human)	1165	8548812; 8805376; 8616721; 9158141; 9061609; 9537324; 9929394; 9600917; 9786864; 10896907; 12504075; 16052473; 16335952; 19159218; 25232147; 24275569; 25060689; 22405007; 8666155; 9144432; 9287054; 9175732; 9860295; 18987736; 25751111
P48426	reviewed	PI42A_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PI5P4KA PIP5K2 PIP5K2A	Homo sapiens (Human)	406	7852364; 7639683; 14702039; 15164054; 15489334; 9367159; 18364242; 18691976; 19413330; 19369195; 19608861; 20583997; 19896968; 20068231; 21269460; 22223895; 23186163; 23326584; 26774281; 31091439; 24081551; 29353240; 32130941
P49411	reviewed	EFTU_HUMAN	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	455	7828719; 15616553; 15489334; 8547323; 9332382; 12665801; 14654843; 19608861; 21269460; 22749352; 23186163; 24275569; 25944712; 17160893; 28407488; 31091447
P49754	reviewed	VPS41_HUMAN	Vacuolar protein sorting-associated protein 41 homolog (S53)	VPS41	Homo sapiens (Human)	854	9159129; 12853948; 15489334; 7596406; 20434987; 19850127; 21802320; 21411634; 22323726; 24210660; 23351085; 23322049; 23167963; 25445562; 25908847; 25783203; 28325809; 31806350; 32808683; 33422265; 33764426; 33851776
P49795	reviewed	RGS19_HUMAN	Regulator of G-protein signaling 19 (RGS19) (G-alpha-interacting protein) (GAIP)	RGS19 GAIP GNAI3IP	Homo sapiens (Human)	217	8524874; 14702039; 11780052; 15489334; 8986788; 18691976; 24275569; 25944712; 10452897; 9748280; 10993892; 34685729
P49815	reviewed	TSC2_HUMAN	Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	Homo sapiens (Human)	1807	8269512; 7558029; 8789450; 24722188; 14702039; 15616553; 15489334; 9831664; 9045618; 9580671; 10585443; 11829138; 12150915; 12172553; 12271141; 14651849; 12906785; 12842888; 12820960; 15340059; 15342917; 15963462; 16464865; 18407068; 18308511; 18381890; 18220336; 18691976; 18669648; 19413330; 18974095; 19690332; 20068231; 20145209; 21269460; 21406692; 22795129; 22819219; 23186163; 24529379; 24275569; 25936802; 27278822; 28215400; 29127155; 28561026; 28561066; 33473107; 35772404; 33436626; 8824881; 9302281; 9463313; 9829910; 10732801; 10205261; 10069705; 10735580; 10533067; 10570911; 10607950; 10823953; 15024740; 15595939
P49840	reviewed	GSK3A_HUMAN	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483	15057824; 15489334; 10868943; 12761548; 17229088; 11749387; 17478001; 18846110; 18691976; 18669648; 19413330; 19366350; 19706605; 19369195; 19690332; 21269460; 22539723; 23186163; 24275569; 25187516; 25897075; 30704899; 31073040; 17344846
P49841	reviewed	GSK3B_HUMAN	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420	7980435; 15489334; 10486203; 10523816; 1846781; 8397507; 8250835; 8524413; 9072970; 9731200; 9819408; 9736715; 11004522; 10868943; 11430833; 12054501; 14690523; 15448698; 15752768; 15647282; 16981698; 16428445; 16484495; 17050006; 17318175; 18846110; 18348280; 18691976; 18669648; 19493954; 19946213; 19706605; 19369195; 19690332; 20067585; 20932480; 20080667; 20937854; 11749387; 17478001; 19366350; 20007971; 20068231; 21269460; 21029237; 22514281; 22539723; 23332125; 23186163; 24275569; 24391509; 25169422; 25920809; 25897075; 27484798; 28829046; 28903391; 28992046; 30704899; 31073040; 11440715; 11738041; 12554650
P50570	reviewed	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	DNM2 DYN2	Homo sapiens (Human)	870	7590285; 14702039; 15057824; 15489334; 11583995; 15048127; 16325581; 15703209; 17257598; 17676042; 18353773; 18480402; 18669648; 19605363; 19690332; 19608861; 20496096; 20068231; 21269460; 22022388; 24275569; 25944712; 29437695; 33713620; 36445308; 15731758; 16227997; 17932957; 17636067; 17825552; 18560793; 19623537; 19122038; 19932620; 19932619; 20227276; 22396310; 23092955; 24135484; 32315611; 34744632
P51149	reviewed	RAB7A_HUMAN	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7	Homo sapiens (Human)	207	8954989; 9126495; 14702039; 15489334; 11179213; 12643545; 12944476; 14617358; 14998988; 14668488; 16176980; 17081065; 16925951; 18669648; 19392663; 20048159; 20100911; 20068231; 21269460; 20851765; 21255211; 22261744; 22431521; 22660413; 23179371; 23186163; 24275569; 26416964; 25944712; 28325809; 30709847; 33147445; 34432599; 34159616; 36476874; 15933719; 20028791; 12545426; 15455439; 17060578; 21151572
P51397	reviewed	DAP1_HUMAN	Death-associated protein 1 (DAP-1)	DAP DAP1	Homo sapiens (Human)	102	7828849; 15489334; 16602700; 17081983; 18669648; 20537536; 20068231; 21406692; 23186163; 25944712
P52294	reviewed	IMA5_HUMAN	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	Homo sapiens (Human)	538	7831767; 16641997; 15489334; 8052633; 7892216; 8692858; 7604027; 9463369; 10612665; 12610148; 15942031; 16698996; 17652399; 17928350; 18691976; 19118899; 21269460; 21454664; 21385873; 22500989; 22814378; 23186163; 24275569; 27713473; 28552616; 29599122
P52789	reviewed	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917	8250948; 8786021; 15489334; 7518342; 18350175; 21269460; 23185017; 25944712; 26985301; 29298880; 7883120; 7883122; 7883123
P53355	reviewed	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	DAPK1 DAPK	Homo sapiens (Human)	1430	7828849; 14702039; 17974005; 15164053; 15489334; 10629061; 11579085; 11980920; 12730201; 15367680; 16132846; 16213824; 15616583; 15729359; 16756490; 17056602; 17703233; 17895359; 18422656; 18195017; 18995835; 19180116; 18974095; 20389280; 19878313; 21497122; 21408167; 21406692; 23186163; 24275569; 27068745; 11573098; 14505650; 17344846
P53365	reviewed	ARFP2_HUMAN	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (POR1)	ARFIP2 POR1	Homo sapiens (Human)	341	9038142; 14702039; 16554811; 15489334; 8670882; 11303027; 20068231; 21269460; 21239483; 22981988; 23186163; 24275569; 26296658; 26507660; 31204568; 30917996; 33773106; 11346801; 22679020
P53618	reviewed	COPB_HUMAN	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	COPB1 COPB MSTP026	Homo sapiens (Human)	953	11230166; 15489334; 7982906; 7573041; 11056392; 11520457; 12582157; 17451557; 18385291; 18556652; 18725938; 18356299; 19413330; 19364919; 20362547; 20056612; 21269460; 22223895; 24806965; 24275569; 25944712; 30352685; 33632302
P53992	reviewed	SC24C_HUMAN	Protein transport protein Sec24C (SEC24-related protein C)	SEC24C KIAA0079	Homo sapiens (Human)	1094	7584044; 14702039; 15164054; 15489334; 10214955; 10329445; 10075675; 17428803; 17499046; 18669648; 20427317; 21269460; 23186163; 24275569; 25944712; 30842662; 18843296
P54252	reviewed	ATX3_HUMAN	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361	7874163; 9274833; 11450850; 12508121; 15489334; 9580663; 12297501; 17696782; 21269460; 23625928; 23696636; 23186163; 28445460; 30455355; 33157014; 12486728; 16020535; 16118278
P54257	reviewed	HAP1_HUMAN	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	HAP1 HAP2 HLP1	Homo sapiens (Human)	671	9668110; 10974549; 14702039; 16625196; 7477378; 9742138; 18922795; 19996106; 21386698; 22731248; 23532844; 25074808; 18192679
P54578	reviewed	UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	Homo sapiens (Human)	494	14702039; 16177791; 15489334; 14499622; 19367720; 18162577; 18669648; 19135427; 19106094; 19690332; 19608861; 20068231; 21269460; 21406692; 23186163; 24275569; 27666593; 28396413; 35145029; 16211010
P54619	reviewed	AAKG1_HUMAN	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)	PRKAG1	Homo sapiens (Human)	331	8621499; 14702039; 16541075; 15489334; 14722619; 17028174; 17255938; 18403135; 18691976; 21460634; 21269460; 21680840; 24563466; 17307971; 17712357; 24275569; 17452784; 24352254; 25412657; 26952388
P54646	reviewed	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	Homo sapiens (Human)	552	7959015; 7988703; 16710414; 15489334; 11554766; 11518699; 11602624; 12519745; 14651849; 15980064; 15866171; 17711846; 17486097; 18184930; 18691976; 18669648; 19369195; 20074060; 20160076; 21460634; 21269460; 21205641; 17307971; 17712357; 22517326; 23088624; 23186163; 24767988; 25687571; 28552616; 28561066; 32029622; 34077757; 36732624; 37079666; 36017701; 20124709; 21543851; 16959974; 17344846
P54753	reviewed	EPHB3_HUMAN	Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)	EPHB3 ETK2 HEK2 TYRO6	Homo sapiens (Human)	998	8397371; 15489334; 9267020; 9674711; 15536074; 20068231; 33280498; 17344846
P54802	reviewed	ANAG_HUMAN	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1	Homo sapiens (Human)	743	8650226; 8776591; 8703123; 16625196; 15489334; 19159218; 25818867; 9443875; 9443878; 9832037; 9950362; 10094189; 11068184; 11153910; 11286389; 11793481; 12202988; 11836372; 14984474; 15933803; 16151907; 28101780
P55061	reviewed	BI1_HUMAN	Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6)	TMBIM6 BI1 TEGT	Homo sapiens (Human)	237	8530040; 14702039; 16541075; 15489334; 9660918; 21075086; 22128171; 22418439
P55072	reviewed	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP HEL-220 HEL-S-70	Homo sapiens (Human)	806	10931946; 14702039; 15164053; 15489334; 12665801; 8413590; 23349634; 15362974; 15456787; 15215856; 16139798; 16289116; 16168377; 16186510; 16186509; 16513638; 16449189; 16968747; 17314412; 17525332; 18675248; 18656546; 18691976; 18022694; 19413330; 19174149; 19275885; 19822669; 19818707; 19369195; 19690332; 20833645; 20068231; 21269460; 21118995; 21636303; 21822278; 22020440; 22120668; 21949850; 21406692; 22537386; 22795130; 22902628; 22607976; 22223895; 22948820; 23042607; 23042605; 23335559; 23186163; 24160817; 24275569; 24726327; 26265139; 26565908; 26471729; 26337389; 26389662; 25944712; 26842564; 26692333; 28302725; 28112733; 30455355; 31073040; 32152270; 34739333; 35013556; 20512113; 19887378; 21914798; 27714797; 15034582; 15732117; 16247064; 16321991; 17935506; 20104022; 29804830; 20335036; 21145000; 25125609; 25878907; 27209344; 27753622; 36980948
P56962	reviewed	STX17_HUMAN	Syntaxin-17	STX17	Homo sapiens (Human)	302	14702039; 15164053; 15489334; 19413330; 19608861; 21269460; 21545355; 23006999; 23217709; 22814378; 23186163; 24275569; 26416964; 28306502; 28504273; 29420192; 31806350; 30704899; 33422265; 32980859; 37632749; 25686604
P59044	reviewed	NLRP6_HUMAN	NACHT, LRR and PYD domains-containing protein 6 (Angiotensin II/vasopressin receptor) (PYRIN-containing APAF1-like protein 5)	NLRP6 NALP6 PYPAF5	Homo sapiens (Human)	892	12019269; 12563287; 14702039; 16554811; 12387869; 21088234; 21593405; 23470617; 30392956; 31932628; 34678144; 34161762; 33377178; 30674671; 26282398
P60520	reviewed	GBRL2_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2	Homo sapiens (Human)	117	11146101; 11414770; 14702039; 15489334; 11096062; 11825910; 12507496; 15169837; 17580304; 17525332; 19056683; 19608861; 20818167; 20418806; 20562859; 21269460; 21383079; 22421968; 23043107; 22354992; 22311637; 22470510; 23209295; 24089205; 25127057; 24668264; 26347139; 25684205; 26929408; 29458288; 29420192; 30661429; 31722778; 32315611; 31709703; 34338405; 33909989; 30990354
P61006	reviewed	RAB8A_HUMAN	Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel)	RAB8A MEL RAB8	Homo sapiens (Human)	207	8294494; 1886711; 14702039; 15057824; 15489334; 8375503; 12221131; 15837803; 17081983; 18329369; 18669648; 19413330; 20643351; 20890297; 19864458; 20068231; 21269460; 22159412; 21282656; 21406692; 21255211; 21844891; 22543976; 23186163; 24275569; 26209634; 25860027; 25944712; 26824392; 27103069; 29125462; 30398148; 32344433; 21378754; 27552051
P61011	reviewed	SRP54_HUMAN	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	SRP54	Homo sapiens (Human)	504	8722571; 9511762; 14702039; 12508121; 15489334; 14729963; 21269460; 22814378; 23186163; 24275569; 25944712; 10497032; 12244299; 28972538; 29914977; 34020957
P61077	reviewed	UB2D3_HUMAN	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3 UBC5C UBCH5C	Homo sapiens (Human)	147	8530467; 14702039; 15815621; 15489334; 10329681; 11743028; 12646252; 15247280; 15280377; 15496420; 16628214; 17588522; 18515077; 18948756; 18508924; 18851830; 18284575; 20061386; 20525694; 20347421; 21269460; 21532592; 24211586; 28322253; 28469175; 28685749; 36528027; 16543155
P61221	reviewed	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	Homo sapiens (Human)	599	7539425; 8641422; 15489334; 9660177; 9847332; 11585831; 11780123; 14747530; 21269460; 20122402; 21448132; 23186163; 25944712; 29861391; 17488105
P61981	reviewed	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247	10433554; 10486217; 12853948; 15489334; 23572552; 12665801; 11427721; 14534293; 14654843; 15454081; 15159416; 15696159; 16511572; 16959763; 18249187; 19172738; 19413330; 19640509; 19690332; 20068231; 21269460; 23186163; 24275569; 26047703; 25944712; 27030597; 28202711; 33473107; 36732624; 28777935; 17085597
P62136	reviewed	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)	330	8392016; 8384581; 14702039; 16554811; 15489334; 2161401; 9023344; 11739654; 11564868; 12226088; 11839776; 16263087; 15705855; 16732323; 17890166; 17283141; 17626005; 17965019; 18088087; 18669648; 19826001; 19389623; 19377461; 24336203; 20068231; 21269460; 22814378; 23186163; 19581931; 20516061; 20424263; 21712997; 23846654; 23396208; 26083323; 25556658; 25944712; 29769351; 18992256; 20305656; 26095357
P62258	reviewed	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255	7644510; 8858348; 8684458; 20417184; 14702039; 15489334; 12665801; 23572552; 10409742; 2026444; 10644344; 11427721; 12042314; 12917326; 14654843; 15722337; 15696159; 16376338; 17081065; 18029012; 19172738; 18318008; 19413330; 19640509; 19592491; 19608861; 20068231; 21269460; 21406692; 22607805; 23186163; 24275569; 26047703; 26055712; 25588844; 25944712; 27030597; 28112733; 30611118; 29769719; 35343654; 37555661; 37599448; 17085597
