,Gene,Alphafold IDR Content,Length,Localization,HIPPIE Protein Counts
P06127,CD5,36.4,495,['Cell membrane; Single-pass type I membrane protein'],5
P06132,UROD,1.1,367,['Cytoplasm'],14
P06133,UGT2B4,6.8,528,['Endoplasmic reticulum membrane; Single-pass membrane protein'],0
P06213,INSR,19.1,1382,"['Cell membrane; Single-pass type I membrane protein', 'Late endosome', 'Lysosome']",99
P06239,LCK,11.6,509,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, cytosol']",237
P06241,FYN,15.6,537,"['Cytoplasm', 'Nucleus', 'Cell membrane', 'Perikaryon']",300
P06276,BCHE,7.0,602,['Secreted'],44
P06280,GLA,6.8,429,['Lysosome'],29
P06307,CCK,100.0,115,['Secreted'],2
P06312,IGKV4-1,21.5,121,"['Secreted', 'Cell membrane']",7
P06340,HLA-DOA,28.8,250,"['Endosome membrane; Single-pass type I membrane protein', 'Lysosome membrane; Single-pass type I membrane protein']",3
P06396,GSN,7.2,782,None,83
P06400,RB1,26.0,928,['Nucleus'],142
P06401,PGR,65.4,933,"['Nucleus', 'Cytoplasm']",57
P06454,PTMA,100.0,111,['Nucleus'],67
P06493,CDK1,0.0,297,"['Nucleus', 'Cytoplasm', 'Mitochondrion', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle']",157
P06576,ATP5F1B,10.0,529,['Mitochondrion inner membrane; Peripheral membrane protein; Matrix side'],284
P06681,C2,4.5,752,['Secreted'],6
P06702,S100A9,17.5,114,"['Secreted', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein']",170
P06703,S100A6,0.0,90,"['Nucleus envelope', 'Cytoplasm', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",131
P06727,APOA4,29.3,396,['Secreted'],13
P06729,CD2,47.3,351,['Cell membrane; Single-pass type I membrane protein'],7
P06730,EIF4E,15.7,217,"['Cytoplasm, P-body', 'Cytoplasm', 'Cytoplasm, Stress granule', 'Nucleus', 'Nucleus speckle', 'Nucleus, nuclear body']",76
P06731,CEACAM5,9.0,702,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Apical cell membrane', 'Cell surface']",6
P06732,CKM,0.0,381,['Cytoplasm'],24
P06733,ENO1,0.0,434,"['Cytoplasm', 'Cell membrane', 'Cytoplasm, myofibril, sarcomere, M line']",269
P06734,FCER2,32.4,321,"['Cell membrane; Single-pass type II membrane protein', 'Cell membrane; Lipid-anchor', 'Secreted']",1
P06737,PYGL,3.1,847,"['Cytoplasm, cytosol']",49
P06744,GPI,0.0,558,"['Cytoplasm', 'Secreted']",64
P06746,POLB,2.7,335,"['Nucleus', 'Cytoplasm']",26
P06748,NPM1,46.3,294,"['Nucleus, nucleolus', 'Nucleus, nucleoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",582
P06753,TPM3,69.8,285,"['Cytoplasm, cytoskeleton']",148
P06756,ITGAV,11.6,1048,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, focal adhesion']",64
P06850,CRH,95.4,196,['Secreted'],10
P06858,LPL,4.4,475,"['Cell membrane; Peripheral membrane protein; Extracellular side', 'Secreted', 'Secreted, extracellular space, extracellular matrix']",26
P06865,HEXA,2.8,529,['Lysosome'],30
P06870,KLK1,8.8,262,None,19
P06881,CALCA,99.2,128,['Secreted'],12
P06899,H2BC11,43.7,126,"['Nucleus', 'Chromosome']",58
P07093,SERPINE2,6.0,398,"['Secreted, extracellular space']",25
P07098,LIPF,6.5,398,['Secreted'],0
P07099,EPHX1,4.2,455,"['Microsome membrane; Single-pass type III membrane protein', 'Endoplasmic reticulum membrane; Single-pass type III membrane protein']",55
P07101,TH,16.7,528,"['Cytoplasm, perinuclear region', 'Nucleus', 'Cell projection, axon', 'Cytoplasm', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle']",17
P07108,DBI,0.0,87,"['Endoplasmic reticulum', 'Golgi apparatus']",18
P07148,FABP1,0.0,127,['Cytoplasm'],6
P07195,LDHB,4.5,334,"['Cytoplasm', 'Mitochondrion inner membrane; Peripheral membrane protein']",115
P07196,NEFL,52.1,543,"['Cell projection, axon', 'Cytoplasm, cytoskeleton']",86
P07197,NEFM,71.7,916,"['Cytoplasm, cytoskeleton', 'Cell projection, axon']",68
P07199,CENPB,34.2,599,"['Nucleus', 'Chromosome, centromere']",77
P07202,TPO,11.3,933,['Membrane; Single-pass type I membrane protein'],0
P07204,THBD,21.2,575,['Membrane; Single-pass type I membrane protein'],18
P07205,PGK2,0.0,417,['Cytoplasm'],25
P07225,PROS1,9.0,676,['Secreted'],17
P07237,P4HB,9.8,508,"['Endoplasmic reticulum', 'Endoplasmic reticulum lumen', 'Melanosome', 'Cell membrane; Peripheral membrane protein']",202
P07288,KLK3,8.8,261,['Secreted'],23
P07305,H1-0,63.9,194,"['Nucleus', 'Chromosome']",82
P07306,ASGR1,39.9,291,None,36
P07307,ASGR2,35.7,311,['Membrane; Single-pass type II membrane protein'],65
P07315,CRYGC,0.0,174,None,4
P07320,CRYGD,0.0,174,None,10
P07327,ADH1A,0.0,375,['Cytoplasm'],1
P07332,FES,10.2,822,"['Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic vesicle', 'Golgi apparatus', 'Cell junction, focal adhesion']",15
P07333,CSF1R,19.9,972,['Cell membrane; Single-pass type I membrane protein'],10
P07339,CTSD,7.8,412,"['Lysosome', 'Melanosome', 'Secreted, extracellular space']",54
P07355,ANXA2,6.5,339,"['Secreted, extracellular space, extracellular matrix, basement membrane', 'Melanosome']",178
P07357,C8A,6.5,584,"['Secreted', 'Cell membrane; Multi-pass membrane protein']",10
P07358,C8B,10.3,591,['Secreted'],3
P07359,GP1BA,60.7,652,['Membrane; Single-pass type I membrane protein'],5
P07360,C8G,16.8,202,['Secreted'],5
P07384,CAPN1,2.2,714,"['Cytoplasm', 'Cell membrane']",74
P07437,TUBB,2.5,444,"['Cytoplasm, cytoskeleton']",388
P07438,MT1B,21.3,61,None,4
P07451,CA3,0.0,260,['Cytoplasm'],2
P07476,IVL,75.6,585,['Cytoplasm'],82
P07477,PRSS1,8.5,247,"['Secreted, extracellular space']",27
P07478,PRSS2,8.5,247,"['Secreted, extracellular space']",14
P07492,GRP,99.3,148,"['Secreted', 'Cytoplasmic vesicle, secretory vesicle lumen', 'Cell projection, neuron projection']",1
P07498,CSN3,100.0,182,['Secreted'],11
P07510,CHRNG,21.5,517,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",12
P07550,ADRB2,30.5,413,"['Cell membrane; Multi-pass membrane protein', 'Early endosome', 'Golgi apparatus']",159
P07585,DCN,15.0,359,"['Secreted, extracellular space, extracellular matrix', 'Secreted']",10
P07602,PSAP,27.3,524,"['Lysosome', '[Prosaposin]: Secreted']",45
P07686,HEXB,7.2,556,"['Lysosome', 'Cytoplasmic vesicle, secretory vesicle, Cortical granule']",22
P07711,CTSL,6.9,333,"['Lysosome', 'Apical cell membrane; Peripheral membrane protein; Extracellular side', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule', 'Secreted, extracellular space', 'Secreted']",99
P07737,PFN1,0.0,140,"['Cytoplasm, cytoskeleton']",243
P07738,BPGM,0.0,259,None,16
P07741,APRT,0.0,180,['Cytoplasm'],40
P07766,CD3E,47.3,207,['Cell membrane; Single-pass type I membrane protein'],33
P07814,EPRS1,10.4,1512,"['Cytoplasm, cytosol', 'Membrane; Peripheral membrane protein']",141
P07858,CTSB,6.2,339,"['Lysosome', 'Melanosome', 'Secreted, extracellular space', 'Apical cell membrane; Peripheral membrane protein; Extracellular side']",108
P07864,LDHC,3.3,332,['Cytoplasm'],19
P07900,HSP90AA1,14.3,732,"['Nucleus', 'Cytoplasm', 'Melanosome', 'Cell membrane', 'Mitochondrion']",597
P07902,GALT,10.6,379,None,15
P07910,HNRNPC,68.0,306,['Nucleus'],312
P07911,UMOD,10.2,640,"['Apical cell membrane; Lipid-anchor, GPI-anchor', 'Basolateral cell membrane; Lipid-anchor, GPI-anchor', 'Cell projection, cilium membrane', '[Uromodulin, secreted form]: Secreted']",4
P07919,UQCRH,26.4,91,['Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side'],62
P07942,LAMB1,11.4,1786,"['Secreted, extracellular space, extracellular matrix, basement membrane']",70
P07947,YES1,17.1,543,"['Cell membrane', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytosol']",187
P07948,LYN,12.5,512,"['Cell membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm, perinuclear region', 'Golgi apparatus', 'Membrane; Lipid- anchor']",420
P07949,RET,20.1,1114,"['Cell membrane; Single-pass type I membrane protein', 'Endosome membrane; Single-pass type I membrane protein']",84
P07951,TPM2,68.0,284,"['Cytoplasm, cytoskeleton']",86
P07954,FH,9.8,510,None,74
P07988,SFTPB,30.2,381,"['Secreted, extracellular space, surface film']",0
P07992,ERCC1,35.7,297,None,26
P07996,THBS1,12.1,1170,"['Secreted', 'Cell surface', 'Secreted, extracellular space, extracellular matrix', 'Endoplasmic reticulum', 'Sarcoplasmic reticulum']",45
P07998,RNASE1,17.3,156,['Secreted'],7
P08034,GJB1,22.3,283,"['Cell membrane; Multi-pass membrane protein', 'Cell junction, gap junction']",42
P08047,SP1,80.0,785,"['Nucleus', 'Cytoplasm']",146
P08048,ZFY,52.3,801,['Nucleus'],7
P08069,IGF1R,19.2,1367,['Cell membrane; Single-pass type I membrane protein'],92
P08100,RHO,4.9,348,"['Membrane; Multi-pass membrane protein', 'Cell projection, cilium, photoreceptor outer segment']",2
P08118,MSMB,25.4,114,['Secreted'],27
P08123,COL1A2,83.1,1366,"['Secreted, extracellular space, extracellular matrix']",22
P08133,ANXA6,1.5,673,"['Cytoplasm', 'Melanosome']",42
P08134,RHOC,5.2,193,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cleavage furrow']",359
P08138,NGFR,42.6,427,"['Cell membrane; Single-pass type I membrane protein', 'Perikaryon', 'Cell projection, growth cone', 'Cell projection, dendritic spine']",32
P08151,GLI1,85.2,1106,"['Cytoplasm', 'Nucleus']",68
P08172,CHRM2,38.8,466,"['Cell membrane; Multi-pass membrane protein', 'Postsynaptic cell membrane; Multi-pass membrane protein']",6
P08173,CHRM4,32.4,479,"['Cell membrane; Multi-pass membrane protein', 'Postsynaptic cell membrane; Multi-pass membrane protein']",62
P08174,CD55,35.2,381,None,33
P08183,ABCB1,6.5,1280,"['Cell membrane; Multi-pass membrane protein', 'Apical cell membrane', 'Cytoplasm']",23
P08185,SERPINA6,7.2,405,['Secreted'],3
P08195,SLC3A2,31.4,630,"['Apical cell membrane', 'Cell membrane; Single-pass type II membrane protein', 'Cell junction', 'Lysosome membrane', 'Melanosome', 'Basolateral cell membrane']",168
P08217,CELA2A,7.1,269,['Secreted'],11
P08218,CELA2B,6.7,269,['Secreted'],19
P08235,NR3C2,66.9,984,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane; Peripheral membrane protein']",25
P08236,GUSB,6.1,651,['Lysosome'],40
P08237,PFKM,1.3,780,['Cytoplasm'],85
P08238,HSP90AB1,14.1,724,"['Cytoplasm', 'Melanosome', 'Nucleus', 'Secreted', 'Cell membrane', 'Dynein axonemal particle', 'Cell surface']",353
P08240,SRPRA,30.7,638,['Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side'],0
P08243,ASNS,0.0,561,None,83
P08246,ELANE,15.7,267,"['Cytoplasmic vesicle, phagosome']",8
P08247,SYP,30.4,313,"['Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Multi-pass membrane protein', 'Synapse, synaptosome']",90
P08253,MMP2,5.6,660,None,25
P08254,MMP3,7.3,477,"['Secreted, extracellular space, extracellular matrix', 'Nucleus', 'Cytoplasm']",8
P08263,GSTA1,0.0,222,['Cytoplasm'],16
P08294,SOD3,20.0,240,"['Secreted, extracellular space', 'Golgi apparatus, trans-Golgi network']",9
P08311,CTSG,7.8,255,"['Cell membrane; Peripheral membrane protein', 'Cytoplasmic granule', 'Secreted', 'Cytoplasm, cytosol', 'Lysosome', 'Nucleus']",43
P08319,ADH4,0.0,380,['Cytoplasm'],3
P08397,HMBS,4.7,361,['Cytoplasm'],10
P08473,MME,5.7,750,['Cell membrane; Single-pass type II membrane protein'],74
P08476,INHBA,22.3,426,['Secreted'],7
P08493,MGP,35.9,103,['Secreted'],1
P08514,ITGA2B,11.6,1039,['Membrane; Single-pass type I membrane protein'],7
P08559,PDHA1,7.9,390,['Mitochondrion matrix'],400
P08567,PLEK,5.4,350,None,7
P08571,CD14,17.9,375,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Secreted', 'Membrane raft', 'Golgi apparatus']",26
P08572,COL4A2,87.0,1712,"['Secreted, extracellular space, extracellular matrix, basement membrane']",26
P08574,CYC1,33.2,325,['Mitochondrion inner membrane; Single-pass membrane protein'],102
P08575,PTPRC,26.3,1306,"['Cell membrane; Single-pass type I membrane protein', 'Membrane raft', 'Synapse']",19
P08579,SNRPB2,19.1,225,['Nucleus'],116
P08581,MET,13.6,1390,['Membrane; Single-pass type I membrane protein'],87
P08582,MELTF,6.0,738,None,35
P08588,ADRB1,40.3,477,"['Cell membrane; Multi-pass membrane protein', 'Early endosome']",9
P08590,MYL3,21.0,195,None,6
P08603,CFH,1.9,1231,['Secreted'],19
P08620,FGF4,37.4,206,['Secreted'],13
P08621,SNRNP70,64.8,437,"['Nucleus speckle', 'Nucleus, nucleoplasm']",642
P08631,HCK,15.2,526,"['Cytoplasmic vesicle, secretory vesicle', 'Cytoplasm, cytosol']",83
P08637,FCGR3A,30.3,254,"['Cell membrane; Single-pass type I membrane protein', 'Secreted']",12
P08648,ITGA5,10.9,1049,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, focal adhesion']",57
P08651,NFIC,60.8,508,['Nucleus'],99
P08670,VIM,43.3,466,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Nucleus matrix', 'Cell membrane']",422
P08684,CYP3A4,2.8,503,"['Endoplasmic reticulum membrane; Single-pass membrane protein', 'Microsome membrane; Single-pass membrane protein']",2
P08686,CYP21A2,5.7,495,"['Endoplasmic reticulum membrane; Peripheral membrane protein', 'Microsome membrane; Peripheral membrane protein']",13
P08697,SERPINF2,23.4,491,['Secreted'],6
P08700,IL3,20.4,152,['Secreted'],0
P08708,RPS17,37.8,135,"['Cytoplasm', 'Nucleus, nucleolus']",153
P08709,F7,14.8,466,['Secreted'],14
P08727,KRT19,47.2,400,None,166
P08729,KRT7,53.5,469,['Cytoplasm'],29
P08754,GNAI3,4.5,354,"['Cytoplasm', 'Cell membrane; Lipid-anchor', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",102
P08758,ANXA5,0.0,320,None,77
P08779,KRT16,60.3,473,None,100
P08833,IGFBP1,30.1,259,['Secreted'],15
P08842,STS,3.6,583,"['Cytoplasmic vesicle, secretory vesicle, microneme membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",24
P08861,CELA3B,9.3,270,None,6
P08865,RPSA,27.1,295,"['Cell membrane', 'Cytoplasm', 'Nucleus']",261
P08887,IL6R,38.7,468,['[Soluble interleukin-6 receptor subunit alpha]: Secreted'],10
P08908,HTR1A,30.6,422,"['Cell membrane; Multi-pass membrane protein', 'Cell projection, dendrite']",4
P08910,ABHD2,6.8,425,"['Cell projection, cilium, flagellum membrane; Single-pass type II membrane protein', 'Cell membrane; Single-pass type II membrane protein']",1
P08912,CHRM5,44.0,532,"['Cell membrane; Multi-pass membrane protein', 'Postsynaptic cell membrane; Multi-pass membrane protein']",23
P08913,ADRA2A,39.4,465,['Cell membrane; Multi-pass membrane protein'],3
P08922,ROS1,12.2,2347,['Cell membrane; Single-pass type I membrane protein'],4
P08949,NMB,100.0,121,"['Secreted', 'Cell projection, neuron projection']",20
P08962,CD63,0.0,238,"['Cell membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein', 'Late endosome membrane; Multi-pass membrane protein', 'Endosome, multivesicular body', 'Melanosome', 'Secreted, extracellular exosome', 'Cell surface']",54
P09012,SNRPA,36.5,282,['Nucleus'],135
P09016,HOXD4,80.4,255,['Nucleus'],15
P09017,HOXC4,81.1,264,['Nucleus'],13
P09038,FGF2,51.7,288,"['Secreted', 'Nucleus']",15
P09067,HOXB5,79.9,269,['Nucleus'],71
P09086,POU2F2,74.5,479,"['Cytoplasm', 'Nucleus']",9
P09104,ENO2,0.0,434,"['Cytoplasm', 'Cell membrane']",62
P09105,HBQ1,0.0,142,None,10
P09110,ACAA1,6.8,424,['Peroxisome'],33
P09132,SRP19,21.5,144,"['Cytoplasm', 'Nucleus, nucleolus', 'Nucleus, nucleoplasm']",25
P09172,DBH,12.2,617,"['[Soluble dopamine beta-hydroxylase]: Cytoplasmic vesicle, secretory vesicle lumen', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen', 'Secreted', 'Cytoplasmic vesicle, secretory vesicle membrane; Single-pass type II membrane protein', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane; Single-pass type II membrane protein']",4
P09210,GSTA2,0.0,222,['Cytoplasm'],5
P09211,GSTP1,0.0,210,"['Cytoplasm', 'Mitochondrion', 'Nucleus']",92
P09228,CST2,24.1,141,['Secreted'],31
P09234,SNRPC,66.7,159,['Nucleus'],148
P09237,MMP7,10.9,267,"['Secreted, extracellular space, extracellular matrix']",15
P09238,MMP10,9.0,476,"['Secreted, extracellular space, extracellular matrix']",7
P09326,CD48,21.4,243,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Secreted']",21
P09327,VIL1,5.7,827,"['Cytoplasm, cytoskeleton', 'Cell projection, lamellipodium', 'Cell projection, ruffle', 'Cell projection, microvillus', 'Cell projection, filopodium tip', 'Cell projection, filopodium']",7
P09341,CXCL1,42.1,107,['Secreted'],13
P09382,LGALS1,0.0,135,"['Secreted, extracellular space, extracellular matrix', 'Cytoplasm', 'Secreted']",147
P09417,QDPR,0.0,244,None,18
P09429,HMGB1,33.0,215,"['Nucleus', 'Chromosome', 'Cytoplasm', 'Secreted', 'Cell membrane; Peripheral membrane protein; Extracellular side', 'Endosome', 'Endoplasmic reticulum-Golgi intermediate compartment', 'Endoplasmic reticulum']",205
P09430,TNP1,100.0,55,"['Nucleus', 'Chromosome']",5
P09455,RBP1,0.0,135,"['Cytoplasm', 'Lipid droplet']",22
P09466,PAEP,12.2,180,['Secreted'],34
P09467,FBP1,3.3,338,None,175
P09471,GNAO1,4.2,354,"['Cell membrane', 'Membrane; Lipid-anchor']",77
P09486,SPARC,24.8,303,"['Secreted, extracellular space, extracellular matrix, basement membrane']",21
P09488,GSTM1,0.0,218,['Cytoplasm'],4
P09493,TPM1,62.3,284,"['Cytoplasm, cytoskeleton']",119
P09496,CLTA,56.0,248,"['Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cytoskeleton, spindle']",135
P09497,CLTB,52.8,229,"['Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side']",81
P09525,ANXA4,0.0,319,['Zymogen granule membrane; Peripheral membrane protein'],18
P09529,INHBB,17.2,407,['Secreted'],3
P09543,CNP,9.7,421,"['Membrane; Lipid- anchor', 'Melanosome']",87
P09544,WNT2,11.1,360,"['Secreted, extracellular space, extracellular matrix', 'Secreted']",11
P09564,CD7,52.9,240,['Membrane; Single-pass type I membrane protein'],12
P09601,HMOX1,24.7,288,['Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasmic side'],69
P09603,CSF1,72.4,554,"['Cell membrane; Single-pass type I membrane protein', '[Processed macrophage colony-stimulating factor 1]: Secreted, extracellular space']",8
P09619,PDGFRB,24.2,1106,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasmic vesicle', 'Lysosome lumen']",72
P09622,DLD,6.9,509,"['Mitochondrion matrix', 'Nucleus', 'Cell projection, cilium, flagellum', 'Cytoplasmic vesicle, secretory vesicle, acrosome']",236
P09629,HOXB7,76.0,217,['Nucleus'],6
P09651,HNRNPA1,51.1,372,"['Nucleus', 'Cytoplasm', 'Cytoplasm', 'Nucleus']",450
P09661,SNRPA1,20.8,255,['Nucleus'],154
P09668,CTSH,7.5,335,['Lysosome'],30
P09669,COX6C,54.7,75,['Mitochondrion inner membrane; Single-pass membrane protein'],52
P09681,GIP,84.3,153,['Secreted'],22
P09683,SCT,100.0,121,['Secreted'],1
P09693,CD3G,59.3,182,['Cell membrane; Single-pass type I membrane protein'],10
P09758,TACSTD2,26.9,323,['Membrane; Single-pass type I membrane protein'],93
P09769,FGR,14.9,529,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell projection, ruffle membrane', 'Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton', 'Mitochondrion inner membrane', 'Mitochondrion intermembrane space']",31
P09848,LCT,4.1,1927,['Apical cell membrane; Single-pass type I membrane protein'],2
P09871,C1S,3.2,688,None,6
P09874,PARP1,12.3,1014,"['Chromosome', 'Nucleus', 'Nucleus, nucleolus', 'Cytoplasm, cytosol', '[Poly [ADP-ribose] polymerase 1, processed N- terminus]: Chromosome', '[Poly [ADP-ribose] polymerase 1, processed C- terminus]: Cytoplasm']",459
P09884,POLA1,22.8,1462,"['Nucleus', 'Cytoplasm, cytosol']",39
P09912,IFI6,100.0,130,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Mitochondrion inner membrane; Multi-pass membrane protein']",39
P09913,IFIT2,4.4,472,"['Cytoplasm', 'Endoplasmic reticulum']",32
P09914,IFIT1,1.0,478,['Cytoplasm'],30
P09917,ALOX5,0.0,674,"['Cytoplasm', 'Nucleus matrix', 'Nucleus membrane; Peripheral membrane protein', 'Cytoplasm, perinuclear region', 'Cytoplasm, cytosol', 'Nucleus envelope', 'Nucleus intermembrane space']",51
P09919,CSF3,17.9,207,['Secreted'],8
P09923,ALPI,11.0,528,"['Cell membrane; Lipid-anchor, GPI-anchor']",51
P09936,UCHL1,0.0,223,"['Cytoplasm', 'Endoplasmic reticulum membrane; Lipid- anchor']",109
P09958,FURIN,17.6,794,"['Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein', 'Cell membrane; Single-pass type I membrane protein', 'Secreted', 'Endosome membrane; Single-pass type I membrane protein']",137
P09960,LTA4H,0.0,611,['Cytoplasm'],23
P09972,ALDOC,1.4,364,None,45
P0C024,NUDT7,2.5,238,['Peroxisome'],1
P0C0L4,C4A,6.1,1744,"['Secreted', 'Synapse', 'Cell projection, axon', 'Cell projection, dendrite']",37
P0C0L5,C4B,6.0,1744,"['Secreted', 'Synapse', 'Cell projection, axon', 'Cell projection, dendrite']",5
P0C0S5,H2AZ1,35.9,128,"['Nucleus', 'Chromosome']",152
P0C0S8,H2AC11,37.7,130,"['Nucleus', 'Chromosome']",272
P0C1S8,WEE2,47.3,567,['Nucleus'],0
P0C1Z6,TFPT,77.5,253,['Nucleus'],109
P0C263,SBK2,10.1,348,None,0
P0C264,SBK3,18.9,359,None,9
P0C2W1,FBXO45,14.0,286,"['Secreted', 'Postsynaptic cell membrane', 'Presynaptic cell membrane', 'Nucleus']",43
P0C5Y9,H2AB1,30.4,115,"['Nucleus', 'Chromosome']",15
P0C5Z0,H2AB2,31.3,115,"['Nucleus', 'Chromosome']",144
P0C7P0,CISD3,23.6,127,['Mitochondrion'],62
P0C7P3,SLFN14,4.6,912,['[Protein SLFN14]: Nucleus'],1
P0C7T5,ATXN1L,82.7,689,"['Nucleus', 'Cell projection, dendrite']",88
P0C7U0,ELFN1,55.2,828,"['Membrane; Single-pass type I membrane protein', 'Cell projection, dendrite']",0
P0C7W6,CCDC172,43.4,258,"['Cytoplasm', 'Cell projection, cilium']",19
P0C7X2,ZNF688,55.4,276,['Nucleus'],76
P0C869,PLA2G4B,0.0,781,None,9
P0C870,JMJD7,0.0,316,"['Nucleus', 'Cytoplasm']",12
P0CAP1,MYZAP,50.0,466,"['Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, myofibril, sarcomere, I band', 'Cytoplasm, myofibril, sarcomere, Z line', 'Cell junction']",11
P0CAP2,POLR2M,83.2,368,None,20
P0CB47,UBTFL1,34.1,393,"['Cytoplasm', 'Nucleus']",21
P0CG04,IGLC1,0.0,106,"['Secreted', 'Cell membrane']",0
P0CG08,GPR89B,7.9,455,['Golgi apparatus membrane; Multi-pass membrane protein'],78
P0CG20,PRR35,87.0,571,None,0
P0CG30,GSTT2B,0.0,244,"['Cytoplasm, cytosol']",6
P0CG37,CFC1,74.0,223,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Secreted']",81
P0CG47,UBB,0.0,229,"['[Ubiquitin]: Cytoplasm', 'Nucleus', 'Mitochondrion outer membrane; Peripheral membrane protein']",266
P0CG48,UBC,0.0,685,"['[Ubiquitin]: Cytoplasm', 'Nucleus', 'Mitochondrion outer membrane; Peripheral membrane protein']",100
P0CW18,PRSS56,24.7,603,None,2
P0DI81,TRAPPC2,0.0,140,"['Cytoplasm, perinuclear region', 'Endoplasmic reticulum-Golgi intermediate compartment', 'Nucleus', 'Cytoplasm']",51
P0DI82,TRAPPC2B,0.0,140,"['Nucleus', 'Cytoplasm, perinuclear region', 'Endoplasmic reticulum-Golgi intermediate compartment', 'Cytoplasm']",0
P0DI83,RAB34,45.5,198,"['Nucleus', 'Nucleus, nucleolus']",7
P0DJD3,RBMY1A1,83.3,496,['Nucleus'],21
P0DJD4,RBMY1C,83.7,496,['Nucleus'],0
P0DJD7,PGA4,3.9,388,['Secreted'],5
P0DJD8,PGA3,3.9,388,['Secreted'],0
P0DJD9,PGA5,3.9,388,['Secreted'],0
P0DJI8,SAA1,11.5,122,['Secreted'],0
P0DJI9,SAA2,11.5,122,['Secreted'],1
P0DJJ0,SRGAP2C,24.2,459,None,0
P0DMC3,APELA,90.7,54,"['Secreted', 'Secreted, extracellular space']",0
P0DME0,SETSIP,42.1,292,"['Cytoplasm', 'Nucleus']",0
P0DML2,CSH1,11.5,217,['Secreted'],0
P0DML3,CSH2,10.6,217,['Secreted'],15
P0DMM9,SULT1A3,3.1,295,['Cytoplasm'],0
P0DMN0,SULT1A4,3.1,295,['Cytoplasm'],10
P0DMS8,ADORA3,6.3,318,['Cell membrane; Multi-pass membrane protein'],7
P0DMS9,TMIGD3,45.5,266,['Membrane; Multi- pass membrane protein'],0
P0DMV8,HSPA1A,4.8,641,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Secreted']",0
P0DMV9,HSPA1B,5.0,641,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",510
P0DMW2,NLRP2B,68.9,45,"['Cytoplasm', 'Nucleus']",0
P0DN84,STRIT1,100.0,35,['Sarcoplasmic reticulum membrane; Single-pass membrane protein'],0
P0DN86,CGB3,44.2,165,['Secreted'],0
P0DOY2,IGLC2,0.0,106,"['Secreted', 'Cell membrane']",0
P0DOY3,IGLC3,0.0,106,"['Secreted', 'Cell membrane']",0
P0DP23,CALM1,0.0,149,"['Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cell projection, cilium, flagellum']",0
