Entry	Entry Name	Protein names	Length	Gene Names (primary)	Gene Names (synonym)
Q6VVB1	NHLC1_HUMAN	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	395	NHLRC1	EPM2B
Q6ZNE5	BAKOR_HUMAN	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	492	ATG14	ATG14L KIAA0831
Q6ZNE9	RUFY4_HUMAN	RUN and FYVE domain-containing protein 4	571	RUFY4	
Q70CQ3	UBP30_HUMAN	Ubiquitin carboxyl-terminal hydrolase 30 (EC 3.4.19.12) (Deubiquitinating enzyme 30) (Ubiquitin thioesterase 30) (Ubiquitin-specific-processing protease 30) (Ub-specific protease 30)	517	USP30	
Q7KZI7	MARK2_HUMAN	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	788	MARK2	EMK1
Q7LBR1	CHM1B_HUMAN	Charged multivesicular body protein 1b (CHMP1.5) (Chromatin-modifying protein 1b) (CHMP1b) (Vacuolar protein sorting-associated protein 46-2) (Vps46-2) (hVps46-2)	199	CHMP1B	C18orf2
Q7Z3C6	ATG9A_HUMAN	Autophagy-related protein 9A (APG9-like 1) (mATG9)	839	ATG9A	APG9L1
Q7Z6L1	TCPR1_HUMAN	Tectonin beta-propeller repeat-containing protein 1	1165	TECPR1	KIAA1358
Q86TL0	ATG4D_HUMAN	Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 4) (Autophagin-4) (Autophagy-related protein 4 homolog D) (HsAPG4D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]	474	ATG4D	APG4D AUTL4
Q86VN1	VPS36_HUMAN	Vacuolar protein-sorting-associated protein 36 (ELL-associated protein of 45 kDa) (ESCRT-II complex subunit VPS36)	386	VPS36	C13orf9 EAP45
Q86VP1	TAXB1_HUMAN	Tax1-binding protein 1 (TRAF6-binding protein)	789	TAX1BP1	T6BP
Q86VP3	PACS2_HUMAN	Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)	889	PACS2	KIAA0602 PACS1L
Q86VR2	RETR3_HUMAN	Reticulophagy regulator 3	466	RETREG3	FAM134C
Q86WG5	MTMRD_HUMAN	Myotubularin-related protein 13 (Inactive phosphatidylinositol 3-phosphatase 13) (SET-binding factor 2)	1849	SBF2	CMT4B2 KIAA1766 MTMR13
Q86WV6	STING_HUMAN	Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173)	379	STING1	ERIS MITA STING TMEM173
Q86XT2	VP37D_HUMAN	Vacuolar protein sorting-associated protein 37D (ESCRT-I complex subunit VPS37D) (Williams-Beuren syndrome chromosomal region 24 protein)	251	VPS37D	WBSCR24
Q86Y82	STX12_HUMAN	Syntaxin-12	276	STX12	
Q86YS6	RAB43_HUMAN	Ras-related protein Rab-43 (Ras-related protein Rab-41)	212	RAB43	RAB41
Q8IVP5	FUND1_HUMAN	FUN14 domain-containing protein 1	155	FUNDC1	
Q8IXH6	T53I2_HUMAN	Tumor protein p53-inducible nuclear protein 2 (Diabetes and obesity-regulated gene) (p53-inducible protein U) (PIG-U)	220	TP53INP2	C20orf110 DOR PINH
Q8IXJ6	SIR2_HUMAN	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	389	SIRT2	SIR2L SIR2L2
Q8IYT8	ULK2_HUMAN	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	1036	ULK2	KIAA0623
Q8IZQ1	WDFY3_HUMAN	WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy)	3526	WDFY3	KIAA0993
Q8N5K1	CISD2_HUMAN	CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1)	135	CISD2	CDGSH2 ERIS ZCD2
Q8N682	DRAM1_HUMAN	DNA damage-regulated autophagy modulator protein 1 (Damage-regulated autophagy modulator)	238	DRAM1	DRAM
Q8N726	ARF_HUMAN	Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF)	132	CDKN2A	CDKN2 MLM
Q8NC44	RETR2_HUMAN	Reticulophagy regulator 2	543	RETREG2	C2orf17 FAM134A MAG2
Q8NCE2	MTMRE_HUMAN	Myotubularin-related protein 14 (EC 3.1.3.-) (HCV NS5A-transactivated protein 4 splice variant A-binding protein 1) (NS5ATP4ABP1) (hJumpy)	650	MTMR14	C3orf29
Q8ND25	ZNRF1_HUMAN	E3 ubiquitin-protein ligase ZNRF1 (EC 2.3.2.27) (Nerve injury-induced gene 283 protein) (RING-type E3 ubiquitin transferase ZNRF1) (Zinc/RING finger protein 1)	227	ZNRF1	NIN283
Q8NEB9	PK3C3_HUMAN	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	887	PIK3C3	VPS34
Q8NEM7	SP20H_HUMAN	Transcription factor SPT20 homolog (p38-interacting protein) (p38IP)	779	SUPT20H	C13orf19 FAM48A
Q8NEZ2	VP37A_HUMAN	Vacuolar protein sorting-associated protein 37A (hVps37A) (ESCRT-I complex subunit VPS37A) (Hepatocellular carcinoma-related protein 1)	397	VPS37A	HCRP1
Q8NHG8	ZNRF2_HUMAN	E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2)	242	ZNRF2	RNF202
Q8NHS3	MFSD8_HUMAN	Major facilitator superfamily domain-containing protein 8 (Ceroid-lipofuscinosis neuronal protein 7)	518	MFSD8	CLN7
Q8TC71	MIEAP_HUMAN	Mitochondria-eating protein (Spermatogenesis-associated protein 18)	538	SPATA18	MIEAP
Q8TDY2	RBCC1_HUMAN	RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200)	1594	RB1CC1	KIAA0203 RBICC
Q8TEV9	SMCR8_HUMAN	Guanine nucleotide exchange protein SMCR8 (Smith-Magenis syndrome chromosomal region candidate gene 8 protein)	937	SMCR8	
Q8WUD1	RAB2B_HUMAN	Ras-related protein Rab-2B (EC 3.6.5.2)	216	RAB2B	
Q8WUH2	TGFA1_HUMAN	Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1)	860	TGFBRAP1	
Q8WUM4	PDC6I_HUMAN	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	868	PDCD6IP	AIP1 ALIX KIAA1375
Q8WUX9	CHMP7_HUMAN	Charged multivesicular body protein 7 (Chromatin-modifying protein 7)	453	CHMP7	
Q8WYN0	ATG4A_HUMAN	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 2) (Autophagin-2) (Autophagy-related protein 4 homolog A) (HsAPG4A) (hAPG4A)	398	ATG4A	APG4A AUTL2
Q92609	TBCD5_HUMAN	TBC1 domain family member 5	795	TBC1D5	KIAA0210
Q92622	RUBIC_HUMAN	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron)	972	RUBCN	KIAA0226
Q92783	STAM1_HUMAN	Signal transducing adapter molecule 1 (STAM-1)	540	STAM	STAM1
Q92995	UBP13_HUMAN	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Isopeptidase T-3) (ISOT-3) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	863	USP13	ISOT3
Q969Q5	RAB24_HUMAN	Ras-related protein Rab-24	203	RAB24	
Q969S8	HDA10_HUMAN	Polyamine deacetylase HDAC10 (EC 3.5.1.48) (EC 3.5.1.62) (Histone deacetylase 10) (HD10)	669	HDAC10	
Q96A37	RN166_HUMAN	E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166)	237	RNF166	
Q96A56	T53I1_HUMAN	Tumor protein p53-inducible nuclear protein 1 (Stress-induced protein) (p53-dependent damage-inducible nuclear protein 1) (p53DINP1)	240	TP53INP1	P53DINP1 SIP
Q96AJ9	VTI1A_HUMAN	Vesicle transport through interaction with t-SNAREs homolog 1A (Vesicle transport v-SNARE protein Vti1-like 2) (Vti1-rp2)	217	VTI1A	
Q96AX1	VP33A_HUMAN	Vacuolar protein sorting-associated protein 33A (hVPS33A)	596	VPS33A	
Q96BY2	MOAP1_HUMAN	Modulator of apoptosis 1 (MAP-1) (MAP1) (Paraneoplastic antigen Ma4)	351	MOAP1	PNMA4
Q96BY7	ATG2B_HUMAN	Autophagy-related protein 2 homolog B	2078	ATG2B	C14orf103
Q96CF2	CHM4C_HUMAN	Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c) (SNF7 homolog associated with Alix 3) (SNF7-3) (hSnf7-3) (Vacuolar protein sorting-associated protein 32-3) (Vps32-3) (hVps32-3)	233	CHMP4C	SHAX3
Q96CP6	ASTRA_HUMAN	Protein Aster-A (GRAM domain-containing protein 1A)	724	GRAMD1A	KIAA1533
Q96CV9	OPTN_HUMAN	Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	577	OPTN	FIP2 GLC1E HIP7 HYPL NRP
Q96DA2	RB39B_HUMAN	Ras-related protein Rab-39B	213	RAB39B	
Q96DM3	RMC1_HUMAN	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98)	657	RMC1	C18orf8 MIC1 WDR98
Q96DT6	ATG4C_HUMAN	Cysteine protease ATG4C (EC 3.4.22.-) (AUT-like 3 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 3) (Autophagin-3) (Autophagy-related protein 4 homolog C) (HsAPG4C)	458	ATG4C	APG4C AUTL1 AUTL3
Q96EY5	MB12A_HUMAN	Multivesicular body subunit 12A (CIN85/CD2AP family-binding protein) (ESCRT-I complex subunit MVB12A) (Protein FAM125A)	273	MVB12A	CFBP FAM125A
Q96F24	NRBF2_HUMAN	Nuclear receptor-binding factor 2 (NRBF-2) (Comodulator of PPAR and RXR)	287	NRBF2	COPR
Q96FZ7	CHMP6_HUMAN	Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20)	201	CHMP6	VPS20
Q96GC9	VMP1_HUMAN	Vacuole membrane protein 1 (Transmembrane protein 49)	406	VMP1	TDC1 TMEM49
Q96GF1	RN185_HUMAN	E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185)	192	RNF185	
Q96H20	SNF8_HUMAN	Vacuolar-sorting protein SNF8 (ELL-associated protein of 30 kDa) (ESCRT-II complex subunit VPS22) (hVps22)	258	SNF8	EAP30
Q96HS1	PGAM5_HUMAN	Serine/threonine-protein phosphatase PGAM5, mitochondrial (EC 3.1.3.16) (Bcl-XL-binding protein v68) (Phosphoglycerate mutase family member 5)	289	PGAM5	
Q96HY6	DDRGK_HUMAN	DDRGK domain-containing protein 1 (Dashurin) (UFM1-binding and PCI domain-containing protein 1)	314	DDRGK1	C20orf116 UFBP1
Q96JC1	VPS39_HUMAN	Vam6/Vps39-like protein (TRAP1-like protein) (hVam6p)	886	VPS39	KIAA0770 TLP VAM6
Q96JE7	SC16B_HUMAN	Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B)	1060	SEC16B	KIAA1928 LZTR2 RGPR SEC16S
Q96JI7	SPTCS_HUMAN	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)	2443	SPG11	KIAA1840
Q96LT7	CI072_HUMAN	Guanine nucleotide exchange factor C9orf72	481	C9orf72	DENND9 DENNL72
Q96N19	G137A_HUMAN	Integral membrane protein GPR137 (Transmembrane 7 superfamily member 1-like 1 protein)	417	GPR137	C11orf4 GPR137A TM7SF1L1
Q96RL7	VP13A_HUMAN	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A)	3174	VPS13A	CHAC KIAA0986
Q96S15	WDR24_HUMAN	GATOR2 complex protein WDR24 (EC 2.3.2.27) (WD repeat-containing protein 24)	790	WDR24	C16orf21
Q99497	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	189	PARK7	
Q99570	PI3R4_HUMAN	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	1358	PIK3R4	VPS15
Q99623	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	299	PHB2	BAP REA
Q99816	TS101_HUMAN	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	390	TSG101	
Q9BRG1	VPS25_HUMAN	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	176	VPS25	DERP9 EAP20
Q9BRR0	ZKSC3_HUMAN	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	538	ZKSCAN3	ZFP47 ZNF306 ZNF309 ZSCAN13
Q9BSB4	ATGA1_HUMAN	Autophagy-related protein 101	218	ATG101	C12orf44
Q9BT88	SYT11_HUMAN	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	431	SYT11	KIAA0080
Q9BTX3	TM208_HUMAN	Transmembrane protein 208	173	TMEM208	
Q9BUL5	PHF23_HUMAN	PHD finger protein 23 (PDH-containing protein JUNE-1)	403	PHF23	
Q9BV40	VAMP8_HUMAN	Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB)	100	VAMP8	
Q9BV81	EMC6_HUMAN	ER membrane protein complex subunit 6 (Transmembrane protein 93)	110	EMC6	TMEM93
Q9BXM7	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	581	PINK1	
Q9BXS4	TMM59_HUMAN	Transmembrane protein 59 (Liver membrane-bound protein)	323	TMEM59	C1orf8
Q9BXW4	MLP3C_HUMAN	Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma)	147	MAP1LC3C	
Q9BY43	CHM4A_HUMAN	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	222	CHMP4A	C14orf123 SHAX2
Q9BZV1	UBXN6_HUMAN	UBX domain-containing protein 6 (UBX domain-containing protein 1)	441	UBXN6	UBXD1 UBXDC2
Q9C035	TRIM5_HUMAN	Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	493	TRIM5	RNF88
Q9C0C7	AMRA1_HUMAN	Activating molecule in BECN1-regulated autophagy protein 1 (DDB1- and CUL4-associated factor 3)	1298	AMBRA1	DCAF3 KIAA1736
Q9GZQ8	MLP3B_HUMAN	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	125	MAP1LC3B	MAP1ALC3
Q9GZU1	MCLN1_HUMAN	Mucolipin-1 (ML1) (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)	580	MCOLN1	ML4 TRPML1
Q9GZZ9	UBA5_HUMAN	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	404	UBA5	UBE1DC1
Q9H082	RB33B_HUMAN	Ras-related protein Rab-33B	229	RAB33B	
Q9H0E2	TOLIP_HUMAN	Toll-interacting protein	274	TOLLIP	
Q9H0R8	GBRL1_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1)	117	GABARAPL1	GEC1
Q9H0U4	RAB1B_HUMAN	Ras-related protein Rab-1B (EC 3.6.5.2)	201	RAB1B	
Q9H0Y0	ATG10_HUMAN	Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10) (APG10-like)	220	ATG10	APG10L
Q9H1Y0	ATG5_HUMAN	Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)	275	ATG5	APG5L ASP
Q9H269	VPS16_HUMAN	Vacuolar protein sorting-associated protein 16 homolog (hVPS16)	839	VPS16	
Q9H270	VPS11_HUMAN	Vacuolar protein sorting-associated protein 11 homolog (hVPS11) (RING finger protein 108)	941	VPS11	RNF108
Q9H444	CHM4B_HUMAN	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)	224	CHMP4B	C20orf178 SHAX1
Q9H492	MLP3A_HUMAN	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A) (MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)	121	MAP1LC3A	
Q9H4P4	RNF41_HUMAN	E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1)	317	RNF41	FLRF NRDP1
Q9H6K1	ILRUN_HUMAN	Protein ILRUN (Inflammation and lipid regulator with UBA-like and NBR1-like domains protein)	298	ILRUN	C6orf106
Q9H6L5	RETR1_HUMAN	Reticulophagy regulator 1 (Reticulophagy receptor 1)	497	RETREG1	FAM134B JK1
Q9H6U6	BCAS3_HUMAN	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1)	928	BCAS3	
Q9H714	PACER_HUMAN	Protein associated with UVRAG as autophagy enhancer (Pacer) (Protein Rubicon-like)	662	RUBCNL	C13orf18 KIAA0226L
Q9H8M9	EVA1A_HUMAN	Protein eva-1 homolog A (Protein FAM176A) (Transmembrane protein 166)	152	EVA1A	FAM176A TMEM166
Q9H9H4	VP37B_HUMAN	Vacuolar protein sorting-associated protein 37B (hVps37B) (ESCRT-I complex subunit VPS37B)	285	VPS37B	
Q9HA65	TBC17_HUMAN	TBC1 domain family member 17	648	TBC1D17	
Q9HAD4	WDR41_HUMAN	WD repeat-containing protein 41	459	WDR41	
Q9HBF4	ZFYV1_HUMAN	Zinc finger FYVE domain-containing protein 1 (Double FYVE-containing protein 1) (SR3) (Tandem FYVE fingers-1)	777	ZFYVE1	DFCP1 KIAA1589 TAFF1 ZNFN2A1
Q9HC29	NOD2_HUMAN	Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15) (Inflammatory bowel disease protein 1)	1040	NOD2	CARD15
Q9HCE0	EPG5_HUMAN	Ectopic P granules protein 5 homolog	2579	EPG5	KIAA1632
Q9HCE7	SMUF1_HUMAN	E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	757	SMURF1	KIAA1625
Q9HD42	CHM1A_HUMAN	Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a) (Vacuolar protein sorting-associated protein 46-1) (Vps46-1) (hVps46-1)	196	CHMP1A	CHMP1 KIAA0047 PCOLN3 PRSM1
Q9NP79	VTA1_HUMAN	Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1)	307	VTA1	C6orf55
Q9NQ11	AT132_HUMAN	Polyamine-transporting ATPase 13A2 (EC 7.6.2.-)	1180	ATP13A2	PARK9
Q9NQ88	TIGAR_HUMAN	Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	270	TIGAR	C12orf5
Q9NRR5	UBQL4_HUMAN	Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	601	UBQLN4	C1orf6 CIP75 UBIN
Q9NSK7	CS012_HUMAN	Protein C19orf12	141	C19orf12	
Q9NSV4	DIAP3_HUMAN	Protein diaphanous homolog 3 (Diaphanous-related formin-3) (DRF3) (MDia2)	1193	DIAPH3	DIAP3
Q9NT62	ATG3_HUMAN	Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96)	314	ATG3	APG3 APG3L
Q9NTK1	DEPP1_HUMAN	Protein DEPP1 (Decidual protein induced by progesterone) (Fasting-induced gene protein) (FIG)	212	DEPP1	C10orf10 DEPP FIG
Q9NV64	TM39A_HUMAN	Transmembrane protein 39A	488	TMEM39A	SUSR2
Q9NVJ2	ARL8B_HUMAN	ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)	186	ARL8B	ARL10C GIE1
Q9NYB9	ABI2_HUMAN	Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)	513	ABI2	ARGBPIA
Q9NZZ3	CHMP5_HUMAN	Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60) (Vps60) (hVps60)	219	CHMP5	C9orf83 SNF7DC2
Q9P1W9	PIM2_HUMAN	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	311	PIM2	
Q9P253	VPS18_HUMAN	Vacuolar protein sorting-associated protein 18 homolog (hVPS18)	973	VPS18	KIAA1475
Q9P2M4	TBC14_HUMAN	TBC1 domain family member 14	693	TBC1D14	KIAA1322
Q9P2Y5	UVRAG_HUMAN	UV radiation resistance-associated gene protein (p63)	699	UVRAG	
Q9UBN7	HDAC6_HUMAN	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Protein deacetylase HDAC6) (EC 3.5.1.-) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	1215	HDAC6	KIAA0901
Q9UEU0	VTI1B_HUMAN	Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1)	232	VTI1B	VTI1 VTI1L VTI1L1 VTI2
Q9UH77	KLHL3_HUMAN	Kelch-like protein 3	587	KLHL3	KIAA1129
Q9UHD9	UBQL2_HUMAN	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	624	UBQLN2	N4BP4 PLIC2
Q9UIB8	SLAF5_HUMAN	SLAM family member 5 (Cell surface antigen MAX.3) (Hly9-beta) (Leukocyte differentiation antigen CD84) (Signaling lymphocytic activation molecule 5) (CD antigen CD84)	345	CD84	SLAMF5
Q9UID3	VPS51_HUMAN	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	782	VPS51	ANG2 C11orf2 C11orf3 FFR
Q9UK41	VPS28_HUMAN	Vacuolar protein sorting-associated protein 28 homolog (H-Vps28) (ESCRT-I complex subunit VPS28)	221	VPS28	
Q9UKA2	FBXL4_HUMAN	F-box/LRR-repeat protein 4 (F-box and leucine-rich repeat protein 4) (F-box protein FBL4/FBL5)	621	FBXL4	FBL4 FBL5
Q9ULC3	RAB23_HUMAN	Ras-related protein Rab-23	237	RAB23	
Q9UMX0	UBQL1_HUMAN	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	589	UBQLN1	DA41 PLIC1
Q9UN37	VPS4A_HUMAN	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	437	VPS4A	VPS4
Q9UNA1	RHG26_HUMAN	Rho GTPase-activating protein 26 (GTPase regulator associated with focal adhesion kinase) (GRAF1) (Oligophrenin-1-like protein) (Rho-type GTPase-activating protein 26)	814	ARHGAP26	GRAF KIAA0621 OPHN1L
Q9UNE7	CHIP_HUMAN	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	303	STUB1	CHIP
Q9UNH6	SNX7_HUMAN	Sorting nexin-7	387	SNX7	
Q9UNZ2	NSF1C_HUMAN	NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47)	370	NSFL1C	UBXN2C
Q9UQN3	CHM2B_HUMAN	Charged multivesicular body protein 2b (CHMP2.5) (Chromatin-modifying protein 2b) (CHMP2b) (Vacuolar protein sorting-associated protein 2-2) (Vps2-2) (hVps2-2)	213	CHMP2B	
Q9Y239	NOD1_HUMAN	Nucleotide-binding oligomerization domain-containing protein 1 (hNod1) (Caspase recruitment domain-containing protein 4)	953	NOD1	CARD4
Q9Y263	PLAP_HUMAN	Phospholipase A-2-activating protein (PLA2P) (PLAP)	795	PLAA	PLAP
Q9Y296	TPPC4_HUMAN	Trafficking protein particle complex subunit 4 (Hematopoietic stem/progenitor cell protein 172) (Synbindin) (TRS23 homolog)	219	TRAPPC4	SBDN
