,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
Q06787,FMR1,42.6,632,"['Cytoplasm, Cytoplasmic ribonucleoprotein granule', 'Cytoplasm, Stress granule', 'Cytoplasm', 'Perikaryon', 'Cytoplasm, perinuclear region', 'Cell projection, neuron projection', 'Cell projection, axon', 'Cell projection, dendrite', 'Cell projection, dendritic spine', 'Synapse, synaptosome', 'Cell projection, growth cone', 'Cell projection, filopodium tip', 'Synapse', 'Postsynaptic cell membrane', 'Presynaptic cell membrane', 'Nucleus', 'Nucleus, nucleolus', 'Chromosome, centromere', 'Chromosome', 'Cell membrane']",76,457
Q07108,CD69,39.7,199,['Membrane; Single-pass type II membrane protein'],0,20
Q07817,BCL2L1,27.5,233,None,182,182
Q08209,PPP3CA,13.4,521,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein', 'Cell membrane, sarcolemma', 'Cytoplasm, myofibril, sarcomere, Z line', 'Cell projection, dendritic spine']",91,104
Q09161,NCBP1,2.9,790,"['Nucleus', 'Cytoplasm']",17,217
Q09472,EP300,60.0,2414,"['Cytoplasm', 'Nucleus', 'Chromosome']",158,1195
Q0ZLH3,PJVK,24.4,352,"['Peroxisome membrane', 'Cell projection, cilium']",13,1
Q12778,FOXO1,87.5,655,"['Cytoplasm', 'Nucleus']",142,78
Q12983,BNIP3,100.0,194,"['Mitochondrion', 'Mitochondrion outer membrane; Single-pass membrane protein']",530,91
Q13049,TRIM32,14.7,653,"['Cytoplasm', 'Mitochondrion', 'Endoplasmic reticulum']",350,154
Q13131,PRKAA1,26.1,559,"['Cytoplasm', 'Nucleus']",669,335
Q13137,CALCOCO2,35.7,446,"['Cytoplasm, perinuclear region', 'Cytoplasm, cytoskeleton', 'Cytoplasmic vesicle, autophagosome membrane; Peripheral membrane protein']",311,448
Q13286,CLN3,17.8,438,"['Lysosome membrane; Multi-pass membrane protein', 'Late endosome', 'Lysosome', 'Golgi apparatus', 'Golgi apparatus membrane', 'Golgi apparatus, Golgi stack', 'Golgi apparatus, trans-Golgi network', 'Cell membrane', 'Recycling endosome', 'Membrane raft', 'Membrane, caveola', 'Early endosome membrane', 'Synapse, synaptosome', 'Late endosome membrane', 'Cytoplasmic vesicle, autophagosome']",245,109
Q13426,XRCC4,41.7,336,"['Nucleus', 'Chromosome', '[Protein XRCC4, C-terminus]: Cytoplasm']",49,72
Q13485,SMAD4,37.3,552,"['Cytoplasm', 'Nucleus']",146,418
Q13488,TCIRG1,9.0,830,['Membrane; Multi-pass membrane protein'],285,68
Q13496,MTM1,10.6,603,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein', 'Cell projection, filopodium', 'Cell projection, ruffle', 'Late endosome', 'Cytoplasm, myofibril, sarcomere']",65,60
Q13501,SQSTM1,51.1,440,"['Cytoplasmic vesicle, autophagosome', 'Preautophagosomal structure', 'Cytoplasm, cytosol', 'Nucleus, PML body', 'Late endosome', 'Lysosome', 'Nucleus', 'Endoplasmic reticulum', 'Cytoplasm, myofibril, sarcomere']",883,890
Q13541,EIF4EBP1,70.3,118,"['Cytoplasm', 'Nucleus']",114,68
Q13569,TDG,46.6,410,['Nucleus'],5,53
Q13573,SNW1,87.3,536,['Nucleus'],55,774
Q13615,MTMR3,47.4,1198,"['Cytoplasm', 'Membrane; Peripheral membrane protein']",12,58
Q14061,COX17,38.1,63,"['Mitochondrion intermembrane space', 'Cytoplasm']",24,59
Q14088,RAB33A,23.6,237,['Cell membrane; Lipid-anchor; Cytoplasmic side'],22,37
Q14191,WRN,32.5,1432,"['Nucleus, nucleolus', 'Nucleus', 'Nucleus, nucleoplasm', 'Chromosome']",50,81
Q14449,GRB14,30.4,540,"['Cytoplasm', 'Endosome membrane; Peripheral membrane protein']",16,25
Q14457,BECN1,26.2,450,"['Cytoplasm', 'Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Endosome membrane; Peripheral membrane protein', 'Endoplasmic reticulum membrane; Peripheral membrane protein', 'Mitochondrion membrane; Peripheral membrane protein', 'Endosome', 'Cytoplasmic vesicle, autophagosome', '[Beclin-1-C 35 kDa]: Mitochondrion', 'Nucleus', 'Cytoplasm', '[Beclin-1-C 37 kDa]: Mitochondrion']",942,211
Q14596,NBR1,66.1,966,"['Cytoplasm', 'Cytoplasmic vesicle, autophagosome', 'Lysosome', 'Cytoplasm, myofibril, sarcomere, M line']",131,332
Q14694,USP10,53.1,798,"['Cytoplasm', 'Nucleus', 'Early endosome']",478,209
Q14722,KCNAB1,19.8,419,"['Cytoplasm', 'Membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",4,12
Q14964,RAB39A,10.1,217,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasmic vesicle, phagosome', 'Cytoplasmic vesicle, phagosome membrane; Lipid-anchor; Cytoplasmic side', 'Lysosome']",135,27
Q14CS0,UBXN2B,47.7,331,"['Nucleus', 'Cytoplasm, cytosol', 'Endoplasmic reticulum', 'Golgi apparatus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",3,35
Q15185,PTGES3,28.7,160,['Cytoplasm'],90,325
Q15382,RHEB,4.3,184,"['Endomembrane system; Lipid-anchor; Cytoplasmic side', 'Lysosome membrane; Lipid- anchor; Cytoplasmic side', 'Golgi apparatus membrane; Lipid-anchor; Cytoplasmic side', 'Endoplasmic reticulum membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, cytosol']",68,74
Q15517,CDSN,97.7,529,['Secreted'],6,100
Q15831,STK11,29.1,433,"['Nucleus', 'Cytoplasm', 'Membrane', 'Mitochondrion']",662,229
Q16143,SNCB,100.0,134,['Cytoplasm'],44,15
Q16222,UAP1,4.2,522,"['Cytoplasm, cytosol']",10,31
Q16595,FXN,41.9,210,"['[Frataxin mature form]: Mitochondrion', '[Extramitochondrial frataxin]: Cytoplasm, cytosol']",4,55
Q16635,TAFAZZIN,7.2,262,"['Mitochondrion outer membrane; Peripheral membrane protein; Intermembrane side', 'Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side']",4,166
Q16665,HIF1A,58.0,826,"['Cytoplasm', 'Nucleus', 'Nucleus speckle']",231,375
Q16666,IFI16,39.9,785,"['Nucleus', 'Cytoplasm']",434,666
Q29983,MICA,27.4,383,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasm']",85,28
Q2KHT3,CLEC16A,32.9,1053,"['Endosome membrane; Peripheral membrane protein', 'Lysosome membrane; Peripheral membrane protein']",216,13
Q2TAZ0,ATG2A,26.9,1938,"['Preautophagosomal structure membrane; Peripheral membrane protein', 'Lipid droplet', 'Endoplasmic reticulum membrane; Peripheral membrane protein']",131,107
Q3MII6,TBC1D25,39.7,688,"['Cytoplasm', 'Cytoplasmic vesicle, autophagosome']",19,54
Q49AN0,CRY2,17.0,593,"['Cytoplasm', 'Nucleus']",43,183
Q562E7,WDR81,26.4,1941,"['Early endosome membrane; Peripheral membrane protein', 'Late endosome membrane', 'Lysosome membrane', 'Cytoplasmic vesicle, autophagosome membrane', 'Mitochondrion', 'Cytoplasm, cytosol']",51,30
Q5BJD5,TMEM41B,24.1,291,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Endomembrane system', 'Cytoplasm']",74,141
Q5MNZ6,WDR45B,0.0,344,"['Preautophagosomal structure', 'Lysosome']",34,54
Q5MNZ9,WIPI1,28.5,446,"['Golgi apparatus, trans-Golgi network', 'Endosome', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Preautophagosomal structure membrane; Peripheral membrane protein', 'Cytoplasm, cytoskeleton']",170,45
Q5S007,LRRK2,6.1,2527,"['Cytoplasmic vesicle', 'Perikaryon', 'Golgi apparatus membrane; Peripheral membrane protein', 'Cell projection, axon', 'Cell projection, dendrite', 'Endoplasmic reticulum membrane; Peripheral membrane protein', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane', 'Endosome', 'Lysosome', 'Mitochondrion outer membrane; Peripheral membrane protein', 'Cytoplasm, cytoskeleton']",34,1463
Q5T0N5,FNBP1L,33.2,605,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cell cortex', 'Cytoplasmic vesicle', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",94,42
Q5T8D3,ACBD5,78.7,534,['Peroxisome membrane; Single-pass membrane protein'],59,182
Q5VVQ6,YOD1,20.1,348,['Cytoplasm'],102,60
Q5VWJ9,SNX30,26.3,437,['Early endosome membrane; Peripheral membrane protein; Cytoplasmic side'],0,12
Q5W041,ARMC3,15.1,872,None,50,4
Q66K74,MAP1S,45.7,1059,"['Nucleus', 'Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, spindle']",226,79
Q674R7,ATG9B,31.8,924,['Preautophagosomal structure membrane; Multi-pass membrane protein'],207,13
Q676U5,ATG16L1,29.8,607,"['Cytoplasm', 'Preautophagosomal structure membrane; Peripheral membrane protein', 'Endosome membrane; Peripheral membrane protein', 'Lysosome membrane; Peripheral membrane protein']",529,735
Q68DK2,ZFYVE26,20.7,2539,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Midbody']",93,45
Q6IQ22,RAB12,25.4,244,"['Recycling endosome membrane; Lipid-anchor; Cytoplasmic side', 'Lysosome membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus membrane', 'Cytoplasmic vesicle, autophagosome']",134,22
Q6PHR2,ULK3,6.8,472,['Cytoplasm'],39,21
Q6UWE0,LRSAM1,25.9,723,['Cytoplasm'],131,82
Q6UX65,DRAM2,9.0,266,"['Lysosome membrane; Multi-pass membrane protein', 'Photoreceptor inner segment', 'Apical cell membrane']",21,1
Q6UXG2,ELAPOR1,16.8,1013,"['Cell membrane; Single-pass type I membrane protein', 'Late endosome membrane; Single-pass type I membrane protein', 'Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein', 'Lysosome membrane; Single-pass membrane protein', 'Endoplasmic reticulum membrane; Single-pass type I membrane protein']",23,0
Q6VVB1,NHLRC1,8.4,395,"['Endoplasmic reticulum', 'Nucleus']",30,19
Q6ZNE5,ATG14,36.4,492,"['Cytoplasm', 'Endoplasmic reticulum membrane; Peripheral membrane protein', 'Preautophagosomal structure membrane; Peripheral membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Peripheral membrane protein']",146,57
Q6ZNE9,RUFY4,40.6,571,"['Cytoplasmic vesicle, autophagosome']",6,14
Q70CQ3,USP30,31.7,517,['Mitochondrion outer membrane'],80,91
Q7KZI7,MARK2,45.8,788,"['Cell membrane; Peripheral membrane protein', 'Cytoplasm', 'Lateral cell membrane', 'Cytoplasm, cytoskeleton', 'Cell projection, dendrite', 'Cytoplasm']",248,189
Q7LBR1,CHMP1B,35.7,199,"['Cytoplasm, cytosol', 'Endosome', 'Late endosome membrane; Peripheral membrane protein']",117,40
Q7Z3C6,ATG9A,25.5,839,"['Preautophagosomal structure membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi- pass membrane protein', 'Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein', 'Late endosome membrane; Multi-pass membrane protein', 'Recycling endosome membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Mitochondrion membrane; Multi-pass membrane protein']",469,147
Q7Z6L1,TECPR1,18.5,1165,"['Cytoplasmic vesicle, autophagosome membrane', 'Lysosome membrane']",14,15
Q86TL0,ATG4D,26.6,474,"['[Cysteine protease ATG4D]: Cytoplasm', '[Cysteine protease ATG4D, mitochondrial]: Cytoplasm', 'Mitochondrion matrix']",151,6
Q86VN1,VPS36,12.2,386,"['Cytoplasm', 'Endosome', 'Late endosome', 'Membrane', 'Nucleus']",118,46
Q86VP1,TAX1BP1,50.8,789,"['Cytoplasm', 'Mitochondrion', 'Preautophagosomal structure', 'Cytoplasmic vesicle, autophagosome']",124,300
Q86VP3,PACS2,46.0,889,"['Endoplasmic reticulum', 'Mitochondrion']",159,16
Q86VR2,RETREG3,64.8,466,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],12,0
Q86WG5,SBF2,18.3,1849,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Membrane; Peripheral membrane protein', 'Endosome membrane; Peripheral membrane protein', 'Cell projection, axon']",89,35
Q86WV6,STING1,20.6,379,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Cytoplasm, perinuclear region', 'Endoplasmic reticulum-Golgi intermediate compartment membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi-pass membrane protein', 'Mitochondrion outer membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",551,121
Q86XT2,VPS37D,49.4,251,['Late endosome membrane; Peripheral membrane protein'],19,18
Q86Y82,STX12,31.9,276,"['Endosome membrane; Single-pass type IV membrane protein', 'Golgi apparatus membrane; Single-pass type IV membrane protein', 'Endomembrane system; Single-pass type IV membrane protein; Cytoplasmic side', 'Early endosome membrane; Single-pass type IV membrane protein', 'Recycling endosome membrane; Single-pass type IV membrane protein']",93,184
Q86YS6,RAB43,16.0,212,"['Cytoplasmic vesicle, phagosome', 'Cytoplasmic vesicle, phagosome membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus', 'Golgi apparatus, trans-Golgi network membrane; Lipid-anchor', 'Golgi apparatus, trans-Golgi network']",216,37
Q8IVB5,LIX1L,18.7,337,None,15,11
Q8IVP5,FUNDC1,53.5,155,['Mitochondrion outer membrane; Multi-pass membrane protein'],134,28
Q8IXH6,TP53INP2,100.0,220,"['Cytoplasm, cytosol', 'Nucleus', 'Nucleus, PML body', 'Cytoplasmic vesicle, autophagosome']",106,2
Q8IXJ6,SIRT2,21.3,389,"['Nucleus', 'Cytoplasm, perinuclear region', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, spindle', 'Midbody', 'Chromosome', 'Perikaryon', 'Cell projection', 'Cell projection, growth cone', 'Myelin membrane']",599,115
Q8IYT8,ULK2,51.6,1036,['Cytoplasmic vesicle membrane; Peripheral membrane protein'],263,57
Q8N0X7,SPART,37.4,666,"['Cytoplasm', 'Midbody']",128,0
Q8N485,LIX1,6.7,282,None,37,4
Q8N488,RYBP,89.9,228,"['Nucleus', 'Cytoplasm', 'Nucleus, nucleoplasm']",64,607
Q8N5K1,CISD2,37.8,135,"['Endoplasmic reticulum membrane; Single-pass membrane protein', 'Mitochondrion outer membrane; Single-pass membrane protein']",466,177
Q8N682,DRAM1,4.2,238,['Lysosome membrane; Multi-pass membrane protein'],199,9
Q8N726,CDKN2A,100.0,132,"['Nucleus, nucleolus', 'Nucleus, nucleoplasm']",206,0
Q8NAA4,ATG16L2,40.7,619,"['Cytoplasm, cytosol']",77,10
Q8NC44,RETREG2,63.4,543,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],13,0
Q8NCE2,MTMR14,40.0,650,['Cytoplasm'],81,97
Q8NEB9,PIK3C3,10.9,887,"['Midbody', 'Late endosome', 'Cytoplasmic vesicle, autophagosome']",582,82
Q8NEM7,SUPT20H,62.9,779,['Nucleus'],92,68
Q8NEZ2,VPS37A,34.5,397,"['Late endosome membrane; Peripheral membrane protein', 'Nucleus']",212,25
Q8NHS3,MFSD8,12.4,518,"['Endosome membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein']",21,53
Q8TC71,SPATA18,38.5,538,"['Cytoplasm', 'Mitochondrion outer membrane']",43,21
Q8TDY2,RB1CC1,34.2,1594,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytosol', 'Preautophagosomal structure', 'Lysosome']",500,315
Q8TEV9,SMCR8,44.2,937,"['Cytoplasm', 'Nucleus', 'Presynapse', 'Postsynapse']",125,118
Q8TF45,ZNF418,30.2,676,['Nucleus'],135,22
Q8WUD1,RAB2B,12.0,216,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Endoplasmic reticulum membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasmic vesicle, secretory vesicle, acrosome', 'Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor; Cytoplasmic side']",45,58
Q8WUH2,TGFBRAP1,4.4,860,"['Cytoplasm', 'Early endosome']",94,43
Q8WUM4,PDCD6IP,18.2,868,"['Cytoplasm, cytosol', 'Melanosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Secreted, extracellular exosome', 'Cell junction, tight junction', 'Midbody, Midbody ring']",78,182
Q8WUX9,CHMP7,21.4,453,"['Cytoplasm', 'Nucleus envelope', 'Nucleus envelope']",24,71
Q8WYN0,ATG4A,19.8,398,['Cytoplasm'],101,29
Q92609,TBC1D5,42.3,795,"['Endosome membrane', 'Cytoplasmic vesicle, autophagosome']",53,52
Q92622,RUBCN,48.0,972,"['Late endosome', 'Lysosome', 'Early endosome']",168,38
Q92731,ESR2,41.1,530,['Nucleus'],55,2353
Q92783,STAM,53.7,540,"['Cytoplasm', 'Early endosome membrane; Peripheral membrane protein; Cytoplasmic side']",134,106
Q92886,NEUROG1,76.8,237,['Nucleus'],18,15
Q92928,RAB1C,13.4,201,"['Membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm']",8,10
Q92995,USP13,16.2,863,['Cytoplasm'],319,88
Q969F2,NKD2,95.3,451,"['Cell membrane', 'Cytoplasm', 'Cytoplasmic vesicle']",52,27
Q969Q5,RAB24,10.8,203,"['Cytoplasm, cytosol', 'Membrane; Lipid-anchor']",43,31
Q969S8,HDAC10,5.2,669,"['Cytoplasm', 'Nucleus']",240,42
Q96A37,RNF166,25.7,237,['Cytoplasm'],49,100
Q96A56,TP53INP1,100.0,240,"['Cytoplasm, cytosol', 'Nucleus', 'Nucleus, PML body', 'Cytoplasmic vesicle, autophagosome']",426,20
Q96AG3,SLC25A46,22.2,418,['Mitochondrion outer membrane; Multi-pass membrane protein'],55,255
Q96AJ9,VTI1A,33.2,217,"['Cytoplasmic vesicle', 'Golgi apparatus membrane; Single-pass type IV membrane protein']",8,47
Q96AX1,VPS33A,2.2,596,"['Cytoplasmic vesicle', 'Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Early endosome', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasmic vesicle, clathrin-coated vesicle']",93,209
Q96BY2,MOAP1,9.7,351,"['Cytoplasm, cytosol', 'Mitochondrion outer membrane', 'Extracellular vesicle membrane']",267,38
Q96BY7,ATG2B,29.9,2078,"['Preautophagosomal structure membrane; Peripheral membrane protein', 'Lipid droplet', 'Endoplasmic reticulum membrane; Peripheral membrane protein']",278,60
Q96CF2,CHMP4C,51.5,233,"['Cytoplasm, cytosol', 'Late endosome membrane; Peripheral membrane protein', 'Midbody, Midbody ring']",242,663
Q96CP6,GRAMD1A,49.3,724,"['Endoplasmic reticulum membrane; Single-pass membrane protein', 'Cell membrane; Single-pass membrane protein', 'Cytoplasmic vesicle, autophagosome']",60,0
Q96CV9,OPTN,65.7,577,"['Cytoplasm, perinuclear region', 'Golgi apparatus', 'Golgi apparatus, trans-Golgi network', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasmic vesicle', 'Recycling endosome']",404,386
Q96DA2,RAB39B,10.3,213,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasmic vesicle membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus']",165,49
Q96DM3,RMC1,0.0,657,"['Lysosome membrane', 'Late endosome membrane']",19,0
Q96DT6,ATG4C,17.7,458,['Cytoplasm'],243,36
Q96EY5,MVB12A,44.7,273,"['Cytoplasm', 'Nucleus', 'Endosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Late endosome membrane; Peripheral membrane protein']",44,39
Q96F24,NRBF2,60.6,287,"['Nucleus', 'Cytoplasm', 'Cytoplasmic vesicle', 'Cytoplasmic vesicle, autophagosome']",83,52
Q96FZ7,CHMP6,41.8,201,"['Endomembrane system', 'Endosome membrane; Lipid- anchor', 'Late endosome membrane', 'Membrane; Lipid-anchor']",54,25
Q96GC9,VMP1,10.1,406,"['Endoplasmic reticulum-Golgi intermediate compartment membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Vacuole membrane; Multi- pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",342,163
Q96GF1,RNF185,69.3,192,"['Mitochondrion outer membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",95,153
Q96H20,SNF8,16.7,258,"['Cytoplasm', 'Endosome membrane', 'Nucleus', 'Late endosome membrane']",158,54
Q96HS1,PGAM5,21.1,289,"['Mitochondrion outer membrane; Single-pass membrane protein', 'Mitochondrion inner membrane; Single-pass membrane protein']",189,213
Q96HY6,DDRGK1,60.8,314,"['Endoplasmic reticulum', 'Endoplasmic reticulum membrane']",207,1163
Q96JC1,VPS39,0.9,886,"['Cytoplasm', 'Lysosome membrane; Peripheral membrane protein', 'Late endosome membrane; Peripheral membrane protein']",87,42
Q96JI7,SPG11,12.0,2443,"['Cytoplasm, cytosol', 'Nucleus', 'Cell projection, axon', 'Cell projection, dendrite']",21,46
Q96LT7,C9orf72,2.7,481,"['Nucleus', 'Cytoplasm', 'Cytoplasm, P-body', 'Cytoplasm, Stress granule', 'Endosome', 'Lysosome', 'Cytoplasmic vesicle, autophagosome', 'Secreted', 'Cell projection, axon', 'Cell projection, growth cone', 'Perikaryon']",203,105
Q96N06,SPATA33,100.0,139,"['Cytoplasm, cytosol', 'Nucleus', 'Cytoplasm', 'Mitochondrion']",25,0
Q96N19,GPR137,31.9,417,['Lysosome membrane; Multi-pass membrane protein'],136,4
Q96NL1,TMEM74,79.7,305,"['Lysosome membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi- pass membrane protein']",195,117
Q96S15,WDR24,27.1,790,['Lysosome membrane'],85,30
Q96T21,SECISBP2,78.1,854,None,20,71
Q99497,PARK7,0.0,189,"['Cell membrane; Lipid-anchor', 'Cytoplasm', 'Nucleus', 'Membrane raft', 'Mitochondrion', 'Endoplasmic reticulum']",591,293
Q99570,PIK3R4,14.7,1358,"['Late endosome', 'Cytoplasmic vesicle, autophagosome', 'Membrane; Lipid-anchor']",111,66
Q99623,PHB2,14.0,299,"['Mitochondrion inner membrane', 'Cytoplasm', 'Nucleus', 'Cell membrane']",479,459
Q99801,NKX3-1,78.6,234,['Nucleus'],36,49
Q99816,TSG101,41.5,390,"['Cytoplasm', 'Early endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Late endosome membrane; Peripheral membrane protein', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Midbody, Midbody ring', 'Nucleus']",387,263
Q99967,CITED2,100.0,270,['Nucleus'],20,16
Q9BPW8,NIPSNAP1,20.8,284,None,121,212
Q9BRG1,VPS25,0.6,176,"['Cytoplasm', 'Endosome membrane', 'Nucleus, nucleoplasm']",76,53
Q9BRR0,ZKSCAN3,48.0,538,"['Nucleus', 'Cytoplasm']",157,26
Q9BS92,NIPSNAP3B,10.1,247,None,18,19
Q9BSB4,ATG101,6.0,218,"['Cytoplasm', 'Preautophagosomal structure']",80,71
Q9BT88,SYT11,34.1,431,"['Cytoplasmic vesicle membrane; Single-pass membrane protein', 'Perikaryon', 'Golgi apparatus, trans-Golgi network membrane; Single-pass membrane protein', 'Recycling endosome membrane; Single-pass membrane protein', 'Lysosome membrane; Single-pass membrane protein', 'Cytoplasmic vesicle, phagosome', 'Cell projection, axon', 'Cell projection, dendrite', 'Postsynaptic density', 'Recycling endosome membrane; Single-pass membrane protein', 'Cytoplasmic vesicle, clathrin-coated vesicle membrane; Single-pass membrane protein', 'Perikaryon']",94,25
Q9BTX3,TMEM208,24.9,173,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],77,47
Q9BUL5,PHF23,89.1,403,"['Nucleus', 'Cytoplasm']",10,20
Q9BV40,VAMP8,67.0,100,"['Lysosome membrane; Single-pass type IV membrane protein', 'Early endosome membrane; Single-pass type IV membrane protein', 'Late endosome membrane; Single-pass type IV membrane protein', 'Cell membrane; Single-pass type IV membrane protein', 'Zymogen granule membrane; Single-pass type IV membrane protein']",156,81
Q9BV81,EMC6,15.5,110,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],110,43
Q9BWH2,FUNDC2,65.1,189,"['Mitochondrion outer membrane; Multi-pass membrane protein', 'Nucleus']",72,93
Q9BXK5,BCL2L13,59.2,485,None,164,96
Q9BXM7,PINK1,16.5,581,"['Mitochondrion outer membrane; Single-pass membrane protein', 'Mitochondrion inner membrane; Single-pass membrane protein', 'Cytoplasm, cytosol']",556,650
Q9BXS4,TMEM59,66.9,323,"['Late endosome membrane; Single-pass type I membrane protein', 'Lysosome membrane; Single-pass type I membrane protein', 'Cell membrane; Single-pass type I membrane protein', 'Golgi apparatus membrane; Single-pass type I membrane protein']",109,169
Q9BXW4,MAP1LC3C,21.1,147,"['Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor', 'Endomembrane system; Lipid-anchor', 'Cytoplasm, cytoskeleton']",202,52
Q9BY43,CHMP4A,52.3,222,"['Cytoplasmic vesicle membrane', 'Late endosome membrane; Peripheral membrane protein']",35,61
Q9BY60,GABARAPL3,0.0,117,"['Cytoplasm, cytoskeleton', 'Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor']",81,1
Q9BZV1,UBXN6,31.7,441,"['Cytoplasm', 'Cytoplasm, cytosol', 'Membrane; Peripheral membrane protein', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Early endosome membrane; Peripheral membrane protein', 'Late endosome membrane; Peripheral membrane protein', 'Lysosome membrane; Peripheral membrane protein']",122,291
Q9C000,NLRP1,21.7,1473,"['Cytoplasm, cytosol', 'Cytoplasm', 'Nucleus', '[NACHT, LRR and PYD domains-containing protein 1, C-terminus]: Inflammasome', '[NACHT, LRR and PYD domains-containing protein 1, N-terminus]: Nucleus']",68,30
Q9C035,TRIM5,4.1,493,"['Cytoplasm', 'Nucleus']",216,62
Q9C0C7,AMBRA1,68.0,1298,"['Endoplasmic reticulum', 'Cytoplasm, cytoskeleton', 'Cytoplasmic vesicle, autophagosome', 'Mitochondrion', 'Cytoplasm, cytosol', 'Nucleus', 'Cell junction, focal adhesion']",381,221
Q9GZQ8,MAP1LC3B,0.0,125,"['Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor', 'Endomembrane system; Lipid-anchor', 'Mitochondrion membrane; Lipid-anchor', 'Cytoplasm, cytoskeleton', 'Cytoplasmic vesicle']",602,664
Q9GZU1,MCOLN1,14.5,580,"['Late endosome membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle membrane; Multi-pass membrane protein', 'Cell projection, phagocytic cup', 'Cytoplasmic vesicle, phagosome membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",45,15
Q9GZZ9,UBA5,31.9,404,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane', 'Golgi apparatus']",100,99
Q9H082,RAB33B,22.3,229,"['Golgi apparatus membrane; Lipid-anchor', 'Golgi apparatus, cis-Golgi network']",53,31
Q9H0E2,TOLLIP,29.2,274,"['Cytoplasm', 'Endosome', 'Early endosome']",294,317
